분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.298,47,14,2,0,1,1,3,0,3,0
주자상황별,1루,0.429,14,6,0,0,0,0,2,0,2,3
주자상황별,2루,0.333,6,2,2,0,0,2,2,0,1,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"1,2루",0.000,7,0,0,0,0,0,0,0,2,1
주자상황별,"1,3루",0.667,3,2,0,0,0,3,1,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,만루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,주자있음,0.303,33,10,2,0,0,5,5,0,6,4
주자상황별,득점권,0.211,19,4,2,0,0,5,3,0,4,1
볼카운트별,0-0,0.583,12,7,2,0,0,1,0,0,0,0
볼카운트별,1-0,0.375,8,3,1,0,0,2,0,0,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.111,9,1,0,0,0,0,0,0,0,2
볼카운트별,1-1,0.333,6,2,0,0,1,1,0,0,0,0
볼카운트별,2-1,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.250,4,1,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.333,9,3,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.333,12,4,0,0,0,1,0,0,2,1
볼카운트별,2-2,0.143,14,2,1,0,0,0,0,0,4,1
볼카운트별,3-2,0.333,3,1,0,0,0,0,5,0,0,0
이닝별,1회,0.273,11,3,0,0,0,0,1,0,1,0
이닝별,2회,0.182,11,2,0,0,0,0,0,0,2,0
이닝별,3회,0.333,9,3,0,0,0,1,2,0,1,1
이닝별,4회,0.200,5,1,1,0,0,2,0,0,0,1
이닝별,5회,0.400,10,4,0,0,0,0,2,0,2,1
이닝별,6회,0.250,8,2,0,0,1,1,0,0,1,0
이닝별,7회,0.111,9,1,1,0,0,0,2,0,1,0
이닝별,8회,0.625,8,5,1,0,0,0,0,0,0,0
이닝별,9회,0.333,9,3,1,0,0,2,1,0,1,1
이닝별,1~3회,0.258,31,8,0,0,0,1,3,0,4,1
이닝별,4~6회,0.304,23,7,1,0,1,3,2,0,3,2
이닝별,7회이후,0.346,26,9,3,0,0,2,3,0,2,1
타순별,1번타자,0.269,52,14,2,0,0,2,4,0,6,2
타순별,7번타자,0.273,11,3,0,0,0,1,1,0,1,1
타순별,8번타자,1.000,1,1,0,0,0,0,0,0,0,0
타순별,9번타자,0.375,16,6,2,0,1,3,3,0,2,1
투수유형별,좌투수,0.226,31,7,2,0,0,1,3,0,3,2
투수유형별,우투수,0.356,45,16,2,0,1,5,5,0,6,2
투수유형별,언더투수,0.250,4,1,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.344,32,11,2,0,1,1,2,0,4,1
아웃카운트별,1아웃,0.192,26,5,1,0,0,1,5,0,3,3
아웃카운트별,2아웃,0.364,22,8,1,0,0,4,1,0,2,0
