분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.29,SSG,0.333,4,3,0,1,1,0,0,1,0,0,1,0,0,0,0.333
3월,03.31,LG,0.400,5,5,1,2,0,0,0,1,0,0,0,0,1,0,0.375
4월,04.01,LG,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.333
4월,04.02,LG,0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.333
4월,04.03,NC,0.500,3,2,1,1,1,0,0,0,0,0,1,0,1,0,0.353
4월,04.04,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0.333
4월,04.05,NC,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.333
4월,04.07,삼성,0.250,5,4,1,1,1,0,0,0,0,0,1,0,1,0,0.321
4월,04.08,삼성,0.333,6,6,2,2,0,0,0,0,0,0,0,0,1,0,0.324
4월,04.10,한화,0.333,5,3,0,1,1,0,0,1,0,0,1,0,0,0,0.324
4월,04.11,한화,0.400,5,5,1,2,0,0,0,0,0,0,0,0,1,0,0.333
4월,04.12,한화,0.500,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0.348
4월,04.14,키움,0.250,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0.340
4월,04.15,키움,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.327
4월,04.16,키움,0.667,4,3,1,2,0,0,0,0,0,0,1,0,0,0,0.345
4월,04.17,두산,0.000,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0.317
4월,04.18,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.299
4월,04.19,두산,1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.309
4월,04.21,KT,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,1,0.301
4월,04.22,KT,0.333,4,3,1,1,0,0,1,1,0,0,1,0,0,1,0.303
4월,04.23,KT,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.300
