분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.222,9,9,1,2,0,0,0,1,0,0,0,0,0,0
상대팀별,KT,3,0.462,13,13,2,6,1,0,1,3,0,0,0,0,1,0
상대팀별,LG,2,0.143,8,7,1,1,0,0,0,2,0,0,1,0,3,1
상대팀별,NC,3,0.417,13,12,3,5,1,0,1,2,0,0,1,0,1,1
상대팀별,SSG,3,0.154,14,13,0,2,0,0,0,1,0,0,1,0,6,0
상대팀별,두산,3,0.417,14,12,4,5,0,0,1,4,0,0,1,0,0,0
상대팀별,롯데,2,0.143,9,7,0,1,1,0,0,0,0,0,2,0,1,0
상대팀별,한화,3,0.200,16,10,4,2,1,0,0,2,0,0,6,0,3,1
구장별,광주,2,0.222,9,9,1,2,0,0,0,1,0,0,0,0,0,0
구장별,대구,13,0.275,58,51,8,14,2,0,2,9,0,0,6,0,11,2
구장별,대전,3,0.200,16,10,4,2,1,0,0,2,0,0,6,0,3,1
구장별,수원,3,0.462,13,13,2,6,1,0,1,3,0,0,0,0,1,0
월별,3~4월,21,0.289,96,83,15,24,4,0,3,15,0,0,12,0,15,3
요일별,화,4,0.353,20,17,2,6,1,0,1,6,0,0,3,0,1,1
요일별,수,4,0.267,19,15,5,4,0,0,0,2,0,0,3,0,3,0
요일별,목,3,0.083,14,12,2,1,0,0,0,0,0,0,2,0,5,0
요일별,금,2,0.250,8,8,2,2,2,0,0,0,0,0,0,0,0,0
요일별,토,4,0.353,18,17,2,6,1,0,1,5,0,0,1,0,4,1
요일별,일,4,0.357,17,14,2,5,0,0,1,2,0,0,3,0,2,1
홈/방문별,홈,13,0.275,58,51,8,14,2,0,2,9,0,0,6,0,11,2
홈/방문별,방문,8,0.313,38,32,7,10,2,0,1,6,0,0,6,0,4,1
주/야간별,주간,6,0.318,26,22,3,7,1,0,1,4,0,0,4,0,5,1
주/야간별,야간,15,0.279,70,61,12,17,3,0,2,11,0,0,8,0,10,2
기간별,전반기,21,0.289,96,83,15,24,4,0,3,15,0,0,12,0,15,3
