분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.324,34,11,2,0,1,1,6,0,4,0
주자상황별,1루,0.280,25,7,2,0,1,2,1,0,6,2
주자상황별,2루,0.250,4,1,0,0,0,1,1,0,0,0
주자상황별,3루,0.333,3,1,0,0,0,2,0,0,1,0
주자상황별,"1,2루",0.222,9,2,0,0,1,4,1,0,2,0
주자상황별,"1,3루",0.000,2,0,0,0,0,0,1,0,0,0
주자상황별,"2,3루",0.500,4,2,0,0,0,3,0,0,1,0
주자상황별,만루,0.000,2,0,0,0,0,2,2,0,1,1
주자상황별,주자있음,0.265,49,13,2,0,2,14,6,0,11,3
주자상황별,득점권,0.250,24,6,0,0,1,12,5,0,5,1
볼카운트별,0-0,0.200,5,1,0,0,0,0,0,0,0,0
볼카운트별,1-0,0.333,12,4,0,0,2,8,0,0,0,0
볼카운트별,2-0,0.667,3,2,1,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,1,5,0,0,0
볼카운트별,0-1,0.200,5,1,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.429,7,3,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.400,5,2,2,0,0,0,0,0,0,0
볼카운트별,3-1,1.000,3,3,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.250,8,2,0,0,0,2,0,0,2,2
볼카운트별,1-2,0.188,16,3,1,0,0,0,0,0,5,0
볼카운트별,2-2,0.133,15,2,0,0,1,2,0,0,5,1
볼카운트별,3-2,0.250,4,1,0,0,0,1,5,0,3,0
이닝별,1회,0.333,15,5,1,0,1,2,2,0,3,0
이닝별,2회,0.167,6,1,0,0,0,0,0,0,2,0
이닝별,3회,0.375,8,3,0,0,0,1,3,0,0,0
이닝별,4회,0.333,12,4,1,0,0,4,0,0,1,1
이닝별,5회,0.111,9,1,0,0,0,2,1,0,2,2
이닝별,6회,0.250,8,2,1,0,0,0,1,0,0,0
이닝별,7회,0.167,6,1,0,0,0,0,4,0,4,0
이닝별,8회,0.417,12,5,0,0,2,6,1,0,2,0
이닝별,9회,0.333,6,2,1,0,0,0,0,0,1,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.310,29,9,1,0,1,3,5,0,5,0
이닝별,4~6회,0.241,29,7,2,0,0,6,2,0,3,3
이닝별,7회이후,0.320,25,8,1,0,2,6,5,0,7,0
타순별,4번타자,0.289,83,24,4,0,3,15,12,0,15,3
투수유형별,좌투수,0.241,29,7,1,0,1,4,2,0,5,0
투수유형별,우투수,0.302,53,16,3,0,2,11,9,0,10,3
투수유형별,언더투수,1.000,1,1,0,0,0,0,1,0,0,0
아웃카운트별,0아웃,0.273,22,6,1,0,0,2,4,0,5,1
아웃카운트별,1아웃,0.375,24,9,2,0,1,5,5,0,3,2
아웃카운트별,2아웃,0.243,37,9,1,0,2,8,3,0,7,0
