분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,롯데,0.250,5,4,0,1,1,0,0,0,0,0,1,0,0,0,0.250
3월,03.29,롯데,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.143
3월,03.31,두산,0.200,5,5,1,1,0,0,1,3,0,0,0,0,0,0,0.167
4월,04.01,두산,0.750,5,4,2,3,0,0,0,1,0,0,0,0,0,0,0.313
4월,04.02,두산,0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.316
4월,04.03,KT,0.250,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0.304
4월,04.04,KT,0.800,5,5,1,4,0,0,1,3,0,0,0,0,0,0,0.393
4월,04.05,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.375
4월,04.07,KIA,0.200,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0.351
4월,04.08,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.341
4월,04.10,NC,0.250,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0.333
4월,04.11,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.306
4월,04.12,NC,1.000,5,4,2,4,0,0,1,2,0,0,1,0,0,0,0.358
4월,04.14,한화,0.667,5,3,0,2,1,0,0,1,0,0,2,0,0,1,0.375
4월,04.15,한화,0.000,6,3,3,0,0,0,0,1,0,0,3,0,1,0,0.356
4월,04.16,한화,0.000,5,4,1,0,0,0,0,0,0,0,1,0,2,0,0.333
4월,04.18,LG,0.250,4,4,1,1,0,0,0,2,0,0,0,0,3,0,0.328
4월,04.19,LG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0.314
4월,04.21,SSG,0.500,5,4,0,2,0,0,0,1,0,0,1,0,1,0,0.324
4월,04.22,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.308
4월,04.23,SSG,0.000,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0.289
