분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,2,0.500,10,8,0,4,0,0,0,1,1,0,1,1,1,0
상대팀별,LG,3,0.364,13,11,2,4,1,0,1,3,0,0,1,0,1,0
상대팀별,NC,3,0.154,14,13,2,2,0,0,1,2,0,0,1,0,2,0
상대팀별,SSG,3,0.300,13,10,1,3,1,0,0,0,0,0,3,0,1,1
상대팀별,두산,3,0.308,13,13,0,4,0,0,0,1,0,0,0,0,1,1
상대팀별,삼성,2,0.429,10,7,2,3,0,0,2,5,0,0,3,0,2,0
상대팀별,키움,3,0.462,13,13,2,6,1,0,1,1,0,0,0,0,4,0
상대팀별,한화,2,0.571,7,7,0,4,0,0,0,0,0,0,0,0,0,0
구장별,고척,3,0.462,13,13,2,6,1,0,1,1,0,0,0,0,4,0
구장별,대구,2,0.429,10,7,2,3,0,0,2,5,0,0,3,0,2,0
구장별,사직,10,0.395,43,38,1,15,1,0,0,2,1,0,4,1,3,2
구장별,잠실,3,0.364,13,11,2,4,1,0,1,3,0,0,1,0,1,0
구장별,창원,3,0.154,14,13,2,2,0,0,1,2,0,0,1,0,2,0
월별,3~4월,21,0.366,93,82,9,30,3,0,5,13,1,0,9,1,12,2
요일별,화,4,0.111,19,18,0,2,0,0,0,0,0,0,0,1,3,1
요일별,수,4,0.400,18,15,1,6,0,0,1,2,1,0,3,0,2,0
요일별,목,3,0.500,13,12,3,6,1,0,1,5,0,0,0,0,0,0
요일별,금,2,0.333,7,6,1,2,0,0,1,1,0,0,1,0,2,1
요일별,토,4,0.471,19,17,3,8,1,0,1,2,0,0,2,0,2,0
요일별,일,4,0.429,17,14,1,6,1,0,1,3,0,0,3,0,3,0
홈/방문별,홈,10,0.395,43,38,1,15,1,0,0,2,1,0,4,1,3,2
홈/방문별,방문,11,0.341,50,44,8,15,2,0,5,11,0,0,5,0,9,0
주/야간별,주간,5,0.421,22,19,2,8,1,0,2,5,0,0,3,0,4,0
주/야간별,야간,16,0.349,71,63,7,22,2,0,3,8,1,0,6,1,8,2
기간별,전반기,21,0.366,93,82,9,30,3,0,5,13,1,0,9,1,12,2
