분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.340,50,17,3,0,2,2,4,0,6,0
주자상황별,1루,0.389,18,7,0,0,1,2,0,1,2,2
주자상황별,2루,0.600,5,3,0,0,0,2,5,0,1,0
주자상황별,3루,0.250,4,1,0,0,1,3,0,0,2,0
주자상황별,"1,2루",0.400,5,2,0,0,1,3,0,0,1,0
주자상황별,"1,3루",-,0,0,0,0,0,1,0,0,0,0
주자상황별,주자있음,0.406,32,13,0,0,3,11,5,1,6,2
주자상황별,득점권,0.429,14,6,0,0,2,9,5,0,4,0
볼카운트별,0-0,0.533,15,8,1,0,2,4,2,0,0,1
볼카운트별,1-0,0.462,13,6,1,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.200,5,1,0,0,0,0,0,0,0,1
볼카운트별,1-1,0.625,8,5,1,0,1,3,0,0,0,0
볼카운트별,2-1,0.750,4,3,0,0,1,3,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.000,7,0,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.227,22,5,0,0,1,2,0,1,7,0
볼카운트별,2-2,0.286,7,2,0,0,0,0,0,0,2,0
볼카운트별,3-2,0.000,1,0,0,0,0,0,4,0,0,0
이닝별,1회,0.053,19,1,1,0,0,0,2,0,6,0
이닝별,2회,0.333,3,1,0,0,0,0,0,0,0,0
이닝별,3회,0.333,15,5,1,0,0,0,1,0,2,0
이닝별,4회,0.571,7,4,0,0,0,2,0,0,1,0
이닝별,5회,0.222,9,2,0,0,1,2,1,0,0,1
이닝별,6회,0.667,6,4,0,0,1,2,3,0,0,0
이닝별,7회,0.500,8,4,0,0,3,6,0,1,1,1
이닝별,8회,0.750,8,6,0,0,0,1,1,0,1,0
이닝별,9회,0.333,6,2,0,0,0,0,1,0,1,0
이닝별,연장,1.000,1,1,1,0,0,0,0,0,0,0
이닝별,1~3회,0.189,37,7,2,0,0,0,3,0,8,0
이닝별,4~6회,0.455,22,10,0,0,2,6,4,0,1,1
이닝별,7회이후,0.565,23,13,1,0,3,7,2,1,3,1
타순별,1번타자,0.361,36,13,1,0,3,10,8,0,4,1
타순별,2번타자,0.372,43,16,2,0,2,3,1,1,8,1
타순별,3번타자,0.333,3,1,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.393,28,11,1,0,1,5,1,0,3,1
투수유형별,우투수,0.360,50,18,2,0,4,8,8,1,8,1
투수유형별,언더투수,0.250,4,1,0,0,0,0,0,0,1,0
아웃카운트별,0아웃,0.267,30,8,2,0,1,1,4,0,6,1
아웃카운트별,1아웃,0.387,31,12,1,0,2,3,2,1,3,1
아웃카운트별,2아웃,0.476,21,10,0,0,2,9,3,0,3,0
