분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,삼성,0.400,5,5,1,2,0,0,1,2,0,0,0,0,1,0,0.400
3월,03.29,삼성,0.500,5,2,1,1,0,0,1,3,0,0,3,0,1,0,0.429
3월,03.31,NC,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.250
4월,04.01,NC,0.250,5,4,1,1,0,0,1,1,0,0,1,0,1,0,0.250
4월,04.02,NC,0.250,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0.250
4월,04.03,SSG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,1,0.227
4월,04.04,SSG,0.000,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0.200
4월,04.05,SSG,0.600,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0.267
4월,04.07,KT,0.250,5,4,0,1,0,0,0,0,0,0,0,1,1,0,0.265
4월,04.08,KT,0.750,5,4,0,3,0,0,0,1,1,0,1,0,0,0,0.316
4월,04.10,키움,0.500,4,4,1,2,0,0,1,1,0,0,0,0,1,0,0.333
4월,04.11,키움,0.600,5,5,1,3,1,0,0,0,0,0,0,0,1,0,0.362
4월,04.12,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.353
4월,04.14,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.345
4월,04.15,LG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.328
4월,04.16,LG,0.750,5,4,2,3,1,0,1,3,0,0,0,0,0,0,0.355
4월,04.18,한화,0.750,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0.379
4월,04.19,한화,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.377
4월,04.21,두산,0.000,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0.351
4월,04.22,두산,0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0.359
4월,04.23,두산,0.500,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0.366
