분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.714,9,7,4,5,2,0,1,4,0,0,2,0,1,0
상대팀별,KT,3,0.417,13,12,3,5,1,1,0,1,1,0,1,0,0,0
상대팀별,LG,2,0.286,7,7,1,2,0,0,0,0,1,0,0,0,0,1
상대팀별,NC,3,0.308,14,13,2,4,2,0,0,1,1,0,1,0,3,1
상대팀별,SSG,3,0.455,13,11,1,5,0,0,0,1,1,1,2,0,2,0
상대팀별,두산,3,0.333,10,6,3,2,0,0,1,4,2,0,4,0,1,0
상대팀별,롯데,2,0.429,8,7,1,3,1,0,0,0,1,0,1,0,0,0
상대팀별,한화,3,0.462,17,13,3,6,1,0,0,3,1,0,4,0,3,0
구장별,광주,2,0.714,9,7,4,5,2,0,1,4,0,0,2,0,1,0
구장별,대구,13,0.364,52,44,8,16,3,0,1,6,6,1,8,0,6,2
구장별,대전,3,0.462,17,13,3,6,1,0,0,3,1,0,4,0,3,0
구장별,수원,3,0.417,13,12,3,5,1,1,0,1,1,0,1,0,0,0
월별,3~4월,21,0.421,91,76,18,32,7,1,2,14,8,1,15,0,10,2
요일별,화,4,0.462,18,13,4,6,1,0,1,5,2,0,5,0,2,0
요일별,수,4,0.583,18,12,3,7,2,0,0,5,1,1,6,0,2,0
요일별,목,3,0.417,13,12,4,5,0,0,1,2,1,0,1,0,3,0
요일별,금,2,0.333,9,9,0,3,1,1,0,2,1,0,0,0,2,1
요일별,토,4,0.467,17,15,5,7,2,0,0,0,1,0,2,0,0,0
요일별,일,4,0.267,16,15,2,4,1,0,0,0,2,0,1,0,1,1
홈/방문별,홈,13,0.364,52,44,8,16,3,0,1,6,6,1,8,0,6,2
홈/방문별,방문,8,0.500,39,32,10,16,4,1,1,8,2,0,7,0,4,0
주/야간별,주간,6,0.273,24,22,3,6,1,0,0,0,2,0,2,0,1,1
주/야간별,야간,15,0.481,67,54,15,26,6,1,2,14,6,1,13,0,9,1
기간별,전반기,21,0.421,91,76,18,32,7,1,2,14,8,1,15,0,10,2
