분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.463,41,19,6,0,1,1,3,0,4,0
주자상황별,1루,0.313,16,5,0,0,1,2,5,0,2,1
주자상황별,2루,0.333,3,1,0,1,0,1,2,0,1,0
주자상황별,3루,0.500,2,1,1,0,0,1,1,0,0,0
주자상황별,"1,2루",0.333,6,2,0,0,0,1,1,0,2,1
주자상황별,"1,3루",0.500,2,1,0,0,0,1,1,0,1,0
주자상황별,"2,3루",0.500,4,2,0,0,0,4,0,0,0,0
주자상황별,만루,0.500,2,1,0,0,0,3,2,0,0,0
주자상황별,주자있음,0.371,35,13,1,1,1,13,12,0,6,2
주자상황별,득점권,0.421,19,8,1,1,0,11,7,0,4,1
볼카운트별,0-0,0.600,5,3,0,0,1,3,1,0,0,0
볼카운트별,1-0,1.000,5,5,2,0,1,1,0,0,0,0
볼카운트별,2-0,0.333,3,1,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,1,4,0,0,0
볼카운트별,0-1,0.600,10,6,0,1,0,4,0,0,0,2
볼카운트별,1-1,0.300,10,3,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.500,4,2,2,0,0,0,0,0,0,0
볼카운트별,3-1,1.000,1,1,0,0,0,2,3,0,0,0
볼카운트별,0-2,0.556,9,5,2,0,0,1,0,0,3,0
볼카운트별,1-2,0.100,10,1,0,0,0,0,0,0,1,0
볼카운트별,2-2,0.077,13,1,0,0,0,0,0,0,5,0
볼카운트별,3-2,0.667,6,4,1,0,0,2,7,0,1,0
이닝별,1회,0.222,9,2,0,0,1,1,1,0,4,0
이닝별,2회,0.333,9,3,2,0,0,0,2,0,1,0
이닝별,3회,0.667,6,4,0,0,0,2,2,0,0,1
이닝별,4회,0.455,11,5,1,0,0,2,1,0,1,0
이닝별,5회,0.417,12,5,1,0,0,2,1,0,1,0
이닝별,6회,1.000,5,5,1,1,0,1,1,0,0,0
이닝별,7회,0.250,8,2,1,0,0,1,4,0,1,1
이닝별,8회,0.333,9,3,1,0,1,4,3,0,2,0
이닝별,9회,0.333,6,2,0,0,0,1,0,0,0,0
이닝별,연장,1.000,1,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.375,24,9,2,0,1,3,5,0,5,1
이닝별,4~6회,0.536,28,15,3,1,0,5,3,0,2,0
이닝별,7회이후,0.333,24,8,2,0,1,6,7,0,3,1
타순별,2번타자,0.500,12,6,3,0,1,5,2,0,3,1
타순별,5번타자,0.419,31,13,1,0,0,4,6,0,5,1
타순별,6번타자,0.400,25,10,2,1,1,5,5,0,2,0
타순별,7번타자,0.500,4,2,1,0,0,0,0,0,0,0
타순별,8번타자,0.333,3,1,0,0,0,0,1,0,0,0
타순별,9번타자,0.000,1,0,0,0,0,0,1,0,0,0
투수유형별,좌투수,0.364,22,8,2,0,1,4,5,0,4,1
투수유형별,우투수,0.462,52,24,5,1,1,10,10,0,6,0
투수유형별,언더투수,0.000,2,0,0,0,0,0,0,0,0,1
아웃카운트별,0아웃,0.483,29,14,2,0,0,2,6,0,2,2
아웃카운트별,1아웃,0.480,25,12,2,0,2,9,3,0,4,0
아웃카운트별,2아웃,0.273,22,6,3,1,0,3,6,0,4,0
