분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,롯데,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.333
3월,03.29,롯데,0.500,4,4,1,2,1,0,0,0,1,0,0,0,0,0,0.429
3월,03.31,두산,0.000,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0.375
4월,04.01,두산,0.500,4,2,1,1,0,0,0,2,1,0,2,0,0,0,0.400
4월,04.02,두산,0.333,4,3,1,1,0,0,1,2,0,0,1,0,1,0,0.385
4월,04.03,KT,0.500,4,4,0,2,0,1,0,1,1,0,0,0,0,0,0.412
4월,04.04,KT,0.750,5,4,3,3,1,0,0,0,0,0,1,0,0,0,0.476
4월,04.05,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.400
4월,04.07,KIA,0.750,5,4,3,3,1,0,1,2,0,0,1,0,0,0,0.448
4월,04.08,KIA,0.667,4,3,1,2,1,0,0,2,0,0,1,0,1,0,0.469
4월,04.10,NC,0.200,5,5,0,1,1,0,0,1,0,0,0,0,2,1,0.432
4월,04.11,NC,0.500,4,4,1,2,1,0,0,0,1,0,0,0,0,0,0.439
4월,04.12,NC,0.250,5,4,1,1,0,0,0,0,0,0,1,0,1,0,0.422
4월,04.14,한화,0.250,6,4,0,1,0,0,0,2,0,0,2,0,1,0,0.408
4월,04.15,한화,0.750,6,4,1,3,1,0,0,1,0,0,2,0,0,0,0.434
4월,04.16,한화,0.400,5,5,2,2,0,0,0,0,1,0,0,0,2,0,0.431
4월,04.18,LG,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.419
4월,04.19,LG,0.333,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0.415
4월,04.21,SSG,0.500,5,4,0,2,0,0,0,1,1,0,1,0,1,0,0.420
4월,04.22,SSG,0.333,4,3,0,1,0,0,0,0,0,1,1,0,1,0,0.417
4월,04.23,SSG,0.500,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0.421
