연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2012,두산,1.000,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.000,1.000,0
2015,두산,0.200,14,5,5,3,1,0,0,0,1,0,0,0,0,0,3,0,0.200,0.200,0
2016,두산,0.288,90,134,118,34,34,5,0,3,48,9,3,2,10,3,28,0,0.407,0.356,2
2017,두산,0.259,125,330,297,60,77,13,4,3,107,26,7,5,21,4,55,2,0.360,0.317,15
2018,두산,0.268,128,280,228,52,61,7,0,1,71,29,7,2,29,10,43,3,0.311,0.372,4
2019,두산,0.250,118,316,276,36,69,6,2,0,79,34,18,5,24,7,40,6,0.286,0.323,11
2020,KIA,0.381,25,51,42,13,16,3,0,1,22,5,1,1,1,5,6,3,0.524,0.440,4
2021,KIA,0.278,92,327,273,37,76,8,0,2,90,34,0,0,42,7,46,7,0.330,0.385,8
2022,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,4,56,6,83,6,0.346,0.369,13
2023,삼성,0.268,132,522,455,63,122,11,1,2,141,45,26,2,46,6,73,12,0.310,0.340,6
2024,삼성,0.258,100,348,302,43,78,9,1,3,98,36,11,4,33,6,70,7,0.325,0.341,7
2025,삼성,0.280,129,464,400,54,112,14,0,1,129,37,11,6,33,13,73,11,0.323,0.351,5
2026,삼성,0.421,21,91,76,18,32,7,1,2,47,14,8,1,15,0,10,2,0.618,0.516,3
