분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.167,7,6,1,1,0,0,0,0,0,0,1,0,1,0
상대팀별,KT,2,0.429,10,7,1,3,1,0,0,2,0,0,2,0,0,1
상대팀별,NC,2,0.200,8,5,1,1,1,0,0,0,0,0,3,0,2,0
상대팀별,SSG,3,0.222,14,9,1,2,0,0,0,3,0,0,4,0,3,0
상대팀별,롯데,3,0.273,13,11,1,3,1,0,0,2,0,0,2,0,5,0
상대팀별,삼성,2,0.333,8,6,2,2,0,0,1,1,0,0,2,0,1,0
상대팀별,키움,3,0.273,14,11,1,3,0,0,1,2,0,0,2,1,2,0
상대팀별,한화,3,0.300,13,10,1,3,0,0,0,1,0,0,3,0,2,1
구장별,고척,3,0.273,14,11,1,3,0,0,1,2,0,0,2,1,2,0
구장별,대구,2,0.333,8,6,2,2,0,0,1,1,0,0,2,0,1,0
구장별,잠실,13,0.279,57,43,5,12,2,0,0,8,0,0,12,0,11,2
구장별,창원,2,0.200,8,5,1,1,1,0,0,0,0,0,3,0,2,0
월별,3~4월,20,0.277,87,65,9,18,3,0,2,11,0,0,19,1,16,2
요일별,화,4,0.125,15,8,2,1,0,0,0,1,0,0,7,0,3,0
요일별,수,3,0.182,12,11,0,2,1,0,0,0,0,0,1,0,5,0
요일별,목,3,0.385,14,13,2,5,1,0,0,2,0,0,1,0,2,1
요일별,금,2,0.167,9,6,0,1,0,0,0,3,0,0,2,0,1,0
요일별,토,4,0.308,18,13,1,4,1,0,0,2,0,0,3,1,3,1
요일별,일,4,0.357,19,14,4,5,0,0,2,3,0,0,5,0,2,0
홈/방문별,홈,13,0.279,57,43,5,12,2,0,0,8,0,0,12,0,11,2
홈/방문별,방문,7,0.273,30,22,4,6,1,0,2,3,0,0,7,1,5,0
주/야간별,주간,6,0.381,28,21,5,8,1,0,2,5,0,0,6,0,3,1
주/야간별,야간,14,0.227,59,44,4,10,2,0,0,6,0,0,13,1,13,1
기간별,전반기,20,0.277,87,65,9,18,3,0,2,11,0,0,19,1,16,2
