분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.323,31,10,2,0,2,2,8,0,7,0
주자상황별,1루,0.133,15,2,1,0,0,1,4,1,4,2
주자상황별,2루,0.167,6,1,0,0,0,1,3,0,2,0
주자상황별,3루,0.000,1,0,0,0,0,0,1,0,1,0
주자상황별,"1,2루",0.714,7,5,0,0,0,4,0,0,2,0
주자상황별,"1,3루",0.000,1,0,0,0,0,1,1,0,0,0
주자상황별,"2,3루",-,0,0,0,0,0,0,1,0,0,0
주자상황별,만루,0.000,4,0,0,0,0,2,1,0,0,0
주자상황별,주자있음,0.235,34,8,1,0,0,9,11,1,9,2
주자상황별,득점권,0.316,19,6,0,0,0,8,7,0,5,0
볼카운트별,0-0,0.500,8,4,0,0,2,3,0,0,0,0
볼카운트별,1-0,0.250,4,1,1,0,0,0,1,0,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,5,0,0,0
볼카운트별,0-1,0.429,7,3,0,0,0,0,0,0,0,2
볼카운트별,1-1,0.250,4,1,1,0,0,1,0,0,0,0
볼카운트별,2-1,0.500,2,1,0,0,0,1,0,0,0,0
볼카운트별,3-1,0.000,2,0,0,0,0,2,5,0,0,0
볼카운트별,0-2,0.111,9,1,0,0,0,0,0,0,6,0
볼카운트별,1-2,0.091,11,1,1,0,0,0,0,0,3,0
볼카운트별,2-2,0.250,12,3,0,0,0,2,0,1,5,0
볼카운트별,3-2,0.600,5,3,0,0,0,2,8,0,2,0
이닝별,1회,0.400,10,4,0,0,0,3,2,0,3,1
이닝별,2회,0.333,9,3,1,0,0,0,0,0,1,0
이닝별,3회,0.375,8,3,0,0,0,1,2,0,4,0
이닝별,4회,0.000,7,0,0,0,0,0,5,0,2,0
이닝별,5회,0.250,4,1,0,0,0,1,2,0,0,1
이닝별,6회,0.222,9,2,0,0,0,1,5,0,1,0
이닝별,7회,0.333,6,2,1,0,0,2,3,0,0,0
이닝별,8회,0.286,7,2,1,0,1,2,0,1,3,0
이닝별,9회,0.200,5,1,0,0,1,1,0,0,2,0
이닝별,1~3회,0.370,27,10,1,0,0,4,4,0,8,1
이닝별,4~6회,0.150,20,3,0,0,0,2,12,0,3,1
이닝별,7회이후,0.278,18,5,2,0,2,5,3,1,5,0
타순별,4번타자,0.277,65,18,3,0,2,11,19,1,16,2
투수유형별,좌투수,0.133,15,2,0,0,0,1,1,0,6,1
투수유형별,우투수,0.320,50,16,3,0,2,10,18,1,10,1
아웃카운트별,0아웃,0.281,32,9,1,0,2,4,7,1,6,1
아웃카운트별,1아웃,0.300,10,3,1,0,0,1,5,0,2,1
아웃카운트별,2아웃,0.261,23,6,1,0,0,6,7,0,8,0
