분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,0.667,5,3,1,2,1,0,0,2,0,0,1,0,0,1,0.667
3월,03.29,KT,0.250,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0.429
3월,03.31,KIA,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.333
4월,04.02,KIA,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.308
4월,04.03,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.235
4월,04.04,키움,0.000,5,2,0,0,0,0,0,0,0,0,2,1,1,0,0.211
4월,04.05,키움,0.600,5,5,1,3,0,0,1,2,0,0,0,0,0,0,0.292
4월,04.07,NC,0.000,4,2,1,0,0,0,0,0,0,0,2,0,1,0,0.269
4월,04.08,NC,0.333,4,3,0,1,1,0,0,0,0,0,1,0,1,0,0.276
4월,04.10,SSG,0.500,5,2,0,1,0,0,0,3,0,0,2,0,0,0,0.290
4월,04.11,SSG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.286
4월,04.12,SSG,0.000,5,3,1,0,0,0,0,0,0,0,2,0,2,0,0.263
4월,04.14,롯데,0.500,4,2,0,1,0,0,0,1,0,0,2,0,1,0,0.275
4월,04.15,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.250
4월,04.16,롯데,0.400,5,5,1,2,1,0,0,1,0,0,0,0,2,0,0.265
4월,04.18,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.264
4월,04.19,삼성,0.500,4,2,2,1,0,0,1,1,0,0,2,0,0,0,0.273
4월,04.21,한화,0.000,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0.263
4월,04.22,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.262
4월,04.23,한화,0.500,5,4,0,2,0,0,0,1,0,0,1,0,0,1,0.277
