분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.500,11,8,0,4,1,0,0,1,0,0,3,0,0,0
상대팀별,KT,2,0.444,10,9,0,4,0,0,0,3,1,0,0,0,2,0
상대팀별,NC,2,0.750,4,4,0,3,0,0,0,0,0,1,0,0,0,0
상대팀별,SSG,3,0.364,13,11,3,4,1,0,0,2,0,0,0,2,1,0
상대팀별,롯데,3,0.250,13,12,1,3,1,0,0,2,0,0,0,0,2,0
상대팀별,삼성,2,0.250,8,8,0,2,0,0,0,0,0,0,0,0,1,0
상대팀별,키움,3,0.167,14,12,1,2,0,0,0,0,0,0,2,0,2,0
상대팀별,한화,3,0.444,13,9,1,4,2,0,0,2,0,0,2,0,1,0
구장별,고척,3,0.167,14,12,1,2,0,0,0,0,0,0,2,0,2,0
구장별,대구,2,0.250,8,8,0,2,0,0,0,0,0,0,0,0,1,0
구장별,잠실,14,0.388,60,49,5,19,5,0,0,10,1,0,5,2,6,0
구장별,창원,2,0.750,4,4,0,3,0,0,0,0,0,1,0,0,0,0
월별,3~4월,21,0.356,86,73,6,26,5,0,0,10,1,1,7,2,9,0
요일별,화,4,0.300,12,10,1,3,1,0,0,0,0,0,2,0,1,0
요일별,수,4,0.538,15,13,0,7,2,0,0,2,0,1,2,0,0,0
요일별,목,3,0.400,14,10,1,4,1,0,0,3,0,0,1,0,2,0
요일별,금,2,0.333,8,6,2,2,0,0,0,0,0,0,0,2,1,0
요일별,토,4,0.267,17,15,1,4,0,0,0,2,0,0,1,0,3,0
요일별,일,4,0.316,20,19,1,6,1,0,0,3,1,0,1,0,2,0
홈/방문별,홈,14,0.388,60,49,5,19,5,0,0,10,1,0,5,2,6,0
홈/방문별,방문,7,0.292,26,24,1,7,0,0,0,0,0,1,2,0,3,0
주/야간별,주간,6,0.308,28,26,1,8,1,0,0,4,1,0,1,0,4,0
주/야간별,야간,15,0.383,58,47,5,18,4,0,0,6,0,1,6,2,5,0
기간별,전반기,21,0.356,86,73,6,26,5,0,0,10,1,1,7,2,9,0
