분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.294,34,10,2,0,0,0,3,0,6,0
주자상황별,1루,0.429,21,9,1,0,0,0,1,1,1,0
주자상황별,2루,0.500,4,2,2,0,0,2,2,1,1,0
주자상황별,"1,2루",0.333,6,2,0,0,0,1,0,0,0,0
주자상황별,"1,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,"2,3루",0.500,2,1,0,0,0,1,0,0,0,0
주자상황별,만루,0.400,5,2,0,0,0,6,1,0,0,0
주자상황별,주자있음,0.410,39,16,3,0,0,10,4,2,3,0
주자상황별,득점권,0.389,18,7,2,0,0,10,3,1,2,0
볼카운트별,0-0,0.600,5,3,1,0,0,0,0,0,0,0
볼카운트별,1-0,0.000,4,0,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.000,2,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.400,10,4,0,0,0,3,0,0,0,0
볼카운트별,1-1,0.444,9,4,1,0,0,2,0,0,0,0
볼카운트별,2-1,0.333,9,3,0,0,0,0,0,1,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,1,4,0,0,0
볼카운트별,0-2,0.000,1,0,0,0,0,0,0,0,1,0
볼카운트별,1-2,0.500,14,7,1,0,0,2,0,0,3,0
볼카운트별,2-2,0.154,13,2,1,0,0,1,0,1,3,0
볼카운트별,3-2,0.500,4,2,1,0,0,1,2,0,2,0
이닝별,1회,0.000,10,0,0,0,0,1,2,1,2,0
이닝별,2회,0.286,7,2,0,0,0,0,0,0,1,0
이닝별,3회,0.500,10,5,1,0,0,3,0,0,1,0
이닝별,4회,0.273,11,3,1,0,0,1,0,0,0,0
이닝별,5회,0.400,10,4,3,0,0,1,1,0,2,0
이닝별,6회,0.600,5,3,0,0,0,3,1,1,0,0
이닝별,7회,0.600,10,6,0,0,0,1,0,0,1,0
이닝별,8회,0.286,7,2,0,0,0,0,3,0,2,0
이닝별,9회,0.333,3,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.259,27,7,1,0,0,4,2,1,4,0
이닝별,4~6회,0.385,26,10,4,0,0,5,2,1,2,0
이닝별,7회이후,0.450,20,9,0,0,0,1,3,0,3,0
타순별,2번타자,0.318,44,14,4,0,0,6,3,2,6,0
타순별,5번타자,0.600,5,3,1,0,0,1,2,0,0,0
타순별,6번타자,0.318,22,7,0,0,0,3,2,0,3,0
타순별,8번타자,1.000,2,2,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.333,21,7,2,0,0,3,1,0,3,0
투수유형별,우투수,0.353,51,18,3,0,0,7,6,2,6,0
투수유형별,언더투수,1.000,1,1,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.235,17,4,1,0,0,0,1,2,2,0
아웃카운트별,1아웃,0.207,29,6,2,0,0,2,2,0,5,0
아웃카운트별,2아웃,0.593,27,16,2,0,0,8,4,0,2,0
