분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,0.250,5,4,0,1,0,0,0,1,0,0,0,0,1,0,0.250
3월,03.29,KT,0.600,5,5,0,3,0,0,0,2,1,0,0,0,1,0,0.444
3월,03.31,KIA,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.364
4월,04.01,KIA,0.667,5,3,0,2,1,0,0,1,0,0,2,0,0,0,0.429
4월,04.02,KIA,0.667,4,3,0,2,0,0,0,0,0,0,1,0,0,0,0.471
4월,04.03,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.429
4월,04.04,키움,0.000,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0.360
4월,04.05,키움,0.250,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0.345
4월,04.07,NC,0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.355
4월,04.08,NC,1.000,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0.394
4월,04.10,SSG,0.500,4,2,2,1,0,0,0,0,0,0,0,2,0,0,0.400
4월,04.11,SSG,0.500,4,4,0,2,0,0,0,1,0,0,0,0,1,0,0.410
4월,04.12,SSG,0.200,5,5,1,1,1,0,0,1,0,0,0,0,0,0,0.386
4월,04.14,롯데,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.375
4월,04.15,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.346
4월,04.16,롯데,0.500,5,4,1,2,1,0,0,2,0,0,0,0,1,0,0.357
4월,04.18,삼성,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.356
4월,04.19,삼성,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.344
4월,04.21,한화,0.500,4,2,1,1,1,0,0,0,0,0,2,0,0,0,0.348
4월,04.22,한화,0.750,4,4,0,3,1,0,0,1,0,0,0,0,0,0,0.371
4월,04.23,한화,0.000,5,3,0,0,0,0,0,1,0,0,0,0,1,0,0.356
