분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.400,13,10,1,4,1,0,1,2,1,0,3,0,0,2
상대팀별,KT,3,0.429,16,14,3,6,1,0,2,5,0,1,2,0,1,0
상대팀별,LG,3,0.222,11,9,2,2,0,1,1,3,0,0,1,1,3,0
상대팀별,SSG,2,0.333,9,6,3,2,0,0,0,1,0,0,3,0,0,0
상대팀별,두산,2,0.125,10,8,2,1,1,0,0,2,0,0,1,1,3,1
상대팀별,롯데,2,0.500,10,10,3,5,1,0,1,6,0,0,0,0,2,0
상대팀별,삼성,3,0.333,14,12,1,4,1,1,0,0,0,0,2,0,2,1
상대팀별,키움,2,0.500,11,8,3,4,2,0,0,3,0,0,3,0,1,0
구장별,대전,11,0.409,54,44,8,18,5,1,3,10,1,1,10,0,4,3
구장별,문학,2,0.333,9,6,3,2,0,0,0,1,0,0,3,0,0,0
구장별,사직,2,0.500,10,10,3,5,1,0,1,6,0,0,0,0,2,0
구장별,잠실,5,0.176,21,17,4,3,1,1,1,5,0,0,2,2,6,1
월별,3~4월,20,0.364,94,77,18,28,7,2,5,22,1,1,15,2,12,4
요일별,화,4,0.333,20,15,3,5,1,1,0,3,0,1,4,1,3,0
요일별,수,4,0.286,18,14,3,4,1,0,1,2,0,0,4,0,1,0
요일별,목,3,0.417,12,12,3,5,0,1,2,4,0,0,0,0,2,1
요일별,금,2,0.143,9,7,0,1,1,0,0,1,0,0,1,1,0,2
요일별,토,4,0.389,21,18,5,7,4,0,1,8,1,0,3,0,5,0
요일별,일,3,0.545,14,11,4,6,0,0,1,4,0,0,3,0,1,1
홈/방문별,홈,11,0.409,54,44,8,18,5,1,3,10,1,1,10,0,4,3
홈/방문별,방문,9,0.303,40,33,10,10,2,1,2,12,0,0,5,2,8,1
주/야간별,주간,6,0.500,30,24,8,12,3,0,2,10,1,0,6,0,5,1
주/야간별,야간,14,0.302,64,53,10,16,4,2,3,12,0,1,9,2,7,3
기간별,전반기,20,0.364,94,77,18,28,7,2,5,22,1,1,15,2,12,4
