분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.286,28,8,2,1,3,3,5,1,5,0
주자상황별,1루,0.429,28,12,3,0,1,4,3,0,4,4
주자상황별,2루,0.600,5,3,1,1,0,3,5,0,1,0
주자상황별,3루,0.000,1,0,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.429,7,3,0,0,1,6,2,0,1,0
주자상황별,"1,3루",0.500,2,1,0,0,0,2,0,0,0,0
주자상황별,"2,3루",0.333,3,1,1,0,0,2,0,0,1,0
주자상황별,만루,0.000,3,0,0,0,0,1,0,1,0,0
주자상황별,주자있음,0.408,49,20,5,1,2,19,10,1,7,4
주자상황별,득점권,0.381,21,8,2,1,1,15,7,1,3,0
볼카운트별,0-0,0.385,13,5,2,0,1,4,0,0,0,1
볼카운트별,1-0,0.455,11,5,0,1,0,3,0,0,0,0
볼카운트별,2-0,0.429,7,3,0,1,1,1,0,0,0,1
볼카운트별,3-0,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-1,0.429,7,3,1,0,1,2,0,1,0,1
볼카운트별,1-1,0.600,5,3,0,0,1,2,0,0,0,1
볼카운트별,2-1,0.714,7,5,2,0,1,5,0,1,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-2,0.167,6,1,1,0,0,2,0,0,4,0
볼카운트별,1-2,0.143,7,1,1,0,0,0,0,0,3,0
볼카운트별,2-2,0.200,5,1,0,0,0,1,0,0,0,0
볼카운트별,3-2,0.111,9,1,0,0,0,2,8,0,5,0
이닝별,1회,0.529,17,9,4,0,2,7,2,1,5,1
이닝별,2회,0.000,2,0,0,0,0,0,1,0,0,0
이닝별,3회,0.300,10,3,0,0,1,3,3,0,1,0
이닝별,4회,0.333,6,2,0,0,0,0,1,0,1,0
이닝별,5회,0.500,8,4,1,1,1,2,5,0,0,0
이닝별,6회,0.400,10,4,0,1,0,1,1,0,1,2
이닝별,7회,0.375,8,3,1,0,0,5,0,1,2,0
이닝별,8회,0.200,10,2,0,0,1,3,0,0,0,1
이닝별,9회,0.000,5,0,0,0,0,0,2,0,2,0
이닝별,연장,1.000,1,1,1,0,0,1,0,0,0,0
이닝별,1~3회,0.414,29,12,4,0,3,10,6,1,6,1
이닝별,4~6회,0.417,24,10,1,2,1,3,7,0,2,2
이닝별,7회이후,0.250,24,6,2,0,1,9,2,1,4,1
타순별,3번타자,0.364,77,28,7,2,5,22,15,2,12,4
투수유형별,좌투수,0.400,20,8,0,1,1,4,2,0,3,0
투수유형별,우투수,0.333,54,18,6,1,3,15,12,1,9,4
투수유형별,언더투수,0.667,3,2,1,0,1,3,1,1,0,0
아웃카운트별,0아웃,0.263,19,5,2,0,1,5,5,0,3,1
아웃카운트별,1아웃,0.423,26,11,3,1,1,8,3,1,4,3
아웃카운트별,2아웃,0.375,32,12,2,1,3,9,7,1,5,0
