분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,키움,0.600,6,5,1,3,2,0,0,3,0,0,1,0,1,0,0.600
3월,03.29,키움,0.333,5,3,2,1,0,0,0,0,0,0,2,0,0,0,0.500
3월,03.31,KT,0.250,5,4,0,1,0,0,0,0,0,1,1,0,1,0,0.417
4월,04.01,KT,0.400,6,5,2,2,1,0,1,2,0,0,1,0,0,0,0.412
4월,04.02,KT,0.600,5,5,1,3,0,0,1,3,0,0,0,0,0,0,0.455
4월,04.03,두산,0.000,5,4,0,0,0,0,0,0,0,0,0,1,0,1,0.385
4월,04.04,두산,0.250,5,4,2,1,1,0,0,2,0,0,1,0,3,0,0.367
4월,04.07,SSG,0.333,5,3,2,1,0,0,0,1,0,0,2,0,0,0,0.364
4월,04.08,SSG,0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.361
4월,04.10,KIA,0.333,4,3,0,1,1,0,0,1,0,0,1,0,0,1,0.359
4월,04.11,KIA,0.500,5,4,1,2,0,0,1,1,1,0,1,0,0,0,0.372
4월,04.12,KIA,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,1,0.370
4월,04.14,삼성,0.500,5,4,0,2,1,0,0,0,0,0,1,0,1,0,0.380
4월,04.15,삼성,0.250,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0.370
4월,04.16,삼성,0.250,4,4,1,1,0,1,0,0,0,0,0,0,1,1,0.362
4월,04.18,롯데,0.200,5,5,1,1,1,0,0,2,0,0,0,0,1,0,0.349
4월,04.19,롯데,0.800,5,5,2,4,0,0,1,4,0,0,0,0,1,0,0.382
4월,04.21,LG,0.250,5,4,1,1,0,1,0,2,0,0,0,1,1,0,0.375
4월,04.22,LG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.365
4월,04.23,LG,0.333,3,3,1,1,0,0,1,1,0,0,0,0,1,0,0.364
