분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.289,38,11,2,0,3,3,2,0,9,0
주자상황별,1루,0.167,12,2,1,0,0,0,1,0,1,1
주자상황별,2루,0.500,4,2,0,0,0,1,3,0,2,0
주자상황별,3루,0.500,2,1,0,0,0,1,0,0,1,0
주자상황별,"1,2루",0.111,9,1,0,0,1,3,3,0,4,0
주자상황별,"1,3루",0.600,5,3,2,0,0,4,0,0,2,0
주자상황별,"2,3루",-,0,0,0,0,0,0,1,0,0,0
주자상황별,만루,0.000,2,0,0,0,0,0,0,0,0,0
주자상황별,주자있음,0.265,34,9,3,0,1,9,8,0,10,1
주자상황별,득점권,0.318,22,7,2,0,1,9,7,0,9,0
볼카운트별,0-0,0.455,11,5,0,0,1,2,0,0,0,0
볼카운트별,1-0,0.333,9,3,2,0,0,3,0,0,0,0
볼카운트별,2-0,-,0,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,5,0,0,0
볼카운트별,0-1,0.500,10,5,2,0,2,2,0,0,0,0
볼카운트별,1-1,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,1.000,1,1,0,0,0,1,2,0,0,0
볼카운트별,0-2,0.286,7,2,1,0,0,0,0,0,4,0
볼카운트별,1-2,0.143,14,2,0,0,0,1,0,0,8,0
볼카운트별,2-2,0.083,12,1,0,0,0,0,0,0,6,1
볼카운트별,3-2,0.250,4,1,0,0,1,3,3,0,1,0
이닝별,1회,0.125,8,1,0,0,0,0,3,0,4,0
이닝별,2회,0.364,11,4,0,0,0,1,1,0,3,0
이닝별,3회,0.333,9,3,2,0,1,4,1,0,2,1
이닝별,4회,0.286,14,4,0,0,1,3,0,0,3,0
이닝별,5회,0.200,10,2,1,0,0,2,0,0,2,0
이닝별,6회,0.333,6,2,0,0,0,0,1,0,0,0
이닝별,7회,0.333,6,2,1,0,1,1,2,0,2,0
이닝별,8회,0.333,6,2,1,0,1,1,1,0,2,0
이닝별,9회,0.000,2,0,0,0,0,0,1,0,1,0
이닝별,1~3회,0.286,28,8,2,0,1,5,5,0,9,1
이닝별,4~6회,0.267,30,8,1,0,1,5,1,0,5,0
이닝별,7회이후,0.286,14,4,2,0,2,2,4,0,5,0
타순별,3번타자,0.571,7,4,2,0,0,0,2,0,2,0
타순별,4번타자,0.245,49,12,3,0,2,8,7,0,12,1
타순별,5번타자,0.250,16,4,0,0,2,4,1,0,5,0
투수유형별,좌투수,0.176,17,3,1,0,1,1,2,0,6,1
투수유형별,우투수,0.306,49,15,4,0,3,10,7,0,12,0
투수유형별,언더투수,0.333,6,2,0,0,0,1,1,0,1,0
아웃카운트별,0아웃,0.346,26,9,2,0,2,2,2,0,8,0
아웃카운트별,1아웃,0.261,23,6,1,0,2,6,7,0,7,1
아웃카운트별,2아웃,0.217,23,5,2,0,0,4,1,0,4,0
