연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2009,두산,0.200,5,5,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0.200,0.200,0
2013,두산,0.271,34,51,48,12,13,1,0,1,17,7,2,3,1,1,11,4,0.354,0.300,0
2014,두산,0.180,47,66,61,7,11,4,1,0,17,3,1,0,4,0,13,0,0.279,0.231,2
2015,두산,0.342,70,175,158,31,54,12,0,5,81,26,2,1,12,3,29,2,0.513,0.399,2
2016,두산,0.335,132,540,484,95,162,36,4,20,266,83,17,6,38,9,86,9,0.550,0.390,3
2017,두산,0.366,131,543,483,91,177,40,2,20,281,78,20,3,41,10,64,15,0.582,0.424,4
2018,두산,0.326,125,529,488,79,159,24,6,12,231,84,7,3,28,10,65,14,0.473,0.373,1
2019,두산,0.319,127,537,458,83,146,27,5,10,213,64,12,3,60,7,57,23,0.465,0.397,3
2020,두산,0.304,129,551,487,103,148,40,0,14,230,70,8,2,42,12,65,9,0.472,0.369,2
2021,두산,0.325,126,525,458,82,149,31,2,6,202,63,13,0,50,11,72,16,0.441,0.400,1
2022,NC,0.336,111,463,408,52,137,18,1,10,187,61,3,3,44,8,62,10,0.458,0.408,3
2023,NC,0.319,130,533,458,70,146,34,2,12,220,85,7,5,56,9,71,14,0.480,0.397,0
2024,NC,0.344,89,362,323,58,111,23,1,13,175,53,4,0,33,4,54,7,0.542,0.409,1
2025,NC,0.289,124,442,384,43,111,24,1,9,164,67,6,4,47,5,63,6,0.427,0.370,2
2026,NC,0.278,21,82,72,9,20,5,0,4,37,12,2,1,10,0,19,1,0.514,0.366,0
