분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.143,11,7,2,1,1,0,0,2,0,0,4,0,1,0
상대팀별,KT,2,0.500,9,6,2,3,0,0,1,4,0,0,3,0,2,0
상대팀별,NC,2,0.000,6,5,1,0,0,0,0,0,0,0,1,0,2,0
상대팀별,SSG,3,0.167,11,6,2,1,1,0,0,2,0,1,3,1,1,0
상대팀별,롯데,2,0.167,7,6,2,1,0,0,0,1,0,0,1,0,2,0
상대팀별,삼성,2,0.429,7,7,0,3,2,0,0,1,0,0,0,0,2,0
상대팀별,키움,3,0.231,14,13,1,3,0,0,0,1,0,0,0,0,5,1
상대팀별,한화,3,0.222,9,9,1,2,0,0,0,0,0,0,0,0,3,0
구장별,고척,3,0.231,14,13,1,3,0,0,0,1,0,0,0,0,5,1
구장별,대구,2,0.429,7,7,0,3,2,0,0,1,0,0,0,0,2,0
구장별,잠실,13,0.235,47,34,9,8,2,0,1,9,0,1,11,1,9,0
구장별,창원,2,0.000,6,5,1,0,0,0,0,0,0,0,1,0,2,0
월별,3~4월,20,0.237,74,59,11,14,4,0,1,11,0,1,12,1,18,1
요일별,화,3,0.000,5,5,0,0,0,0,0,0,0,0,0,0,3,0
요일별,수,4,0.167,16,12,2,2,1,0,0,2,0,0,4,0,3,0
요일별,목,3,0.200,12,10,4,2,0,0,0,1,0,0,2,0,2,0
요일별,금,2,0.286,8,7,0,2,1,0,0,0,0,1,1,0,1,0
요일별,토,4,0.545,16,11,3,6,1,0,1,4,0,0,3,1,3,1
요일별,일,4,0.143,17,14,2,2,1,0,0,4,0,0,2,0,6,0
홈/방문별,홈,13,0.235,47,34,9,8,2,0,1,9,0,1,11,1,9,0
홈/방문별,방문,7,0.240,27,25,2,6,2,0,0,2,0,0,1,0,9,1
주/야간별,주간,6,0.350,24,20,3,7,2,0,1,7,0,0,3,0,7,0
주/야간별,야간,14,0.179,50,39,8,7,2,0,0,4,0,1,9,1,11,1
기간별,전반기,20,0.237,74,59,11,14,4,0,1,11,0,1,12,1,18,1
