분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.364,22,8,2,0,1,1,5,1,7,0
주자상황별,1루,0.143,14,2,0,0,0,0,2,0,7,0
주자상황별,2루,0.333,3,1,0,0,0,1,2,0,0,0
주자상황별,3루,0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.000,5,0,0,0,0,0,2,0,1,1
주자상황별,"1,3루",0.200,5,1,1,0,0,2,0,0,0,0
주자상황별,"2,3루",0.333,3,1,1,0,0,4,0,0,0,0
주자상황별,만루,0.200,5,1,0,0,0,3,1,0,2,0
주자상황별,주자있음,0.162,37,6,2,0,0,10,7,0,11,1
주자상황별,득점권,0.174,23,4,2,0,0,10,5,0,4,1
볼카운트별,0-0,0.571,7,4,1,0,0,0,0,1,0,0
볼카운트별,1-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.500,4,2,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.286,7,2,1,0,0,2,0,0,0,0
볼카운트별,1-1,0.400,5,2,1,0,0,1,0,0,0,0
볼카운트별,2-1,0.333,3,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,1,3,0,0,0
볼카운트별,0-2,0.200,5,1,0,0,0,2,0,0,3,0
볼카운트별,1-2,0.100,10,1,1,0,0,1,0,0,6,1
볼카운트별,2-2,0.200,5,1,0,0,1,1,0,0,3,0
볼카운트별,3-2,0.000,10,0,0,0,0,2,7,0,6,0
이닝별,1회,0.000,3,0,0,0,0,1,2,0,1,0
이닝별,2회,0.000,9,0,0,0,0,1,1,0,4,0
이닝별,3회,0.500,6,3,1,0,0,1,1,0,2,0
이닝별,4회,0.500,6,3,1,0,0,2,3,0,0,0
이닝별,5회,0.286,7,2,1,0,1,2,3,0,2,0
이닝별,6회,0.182,11,2,0,0,0,0,0,0,2,0
이닝별,7회,0.143,7,1,0,0,0,2,1,0,4,0
이닝별,8회,0.143,7,1,1,0,0,2,1,1,2,1
이닝별,9회,0.667,3,2,0,0,0,0,0,0,1,0
이닝별,1~3회,0.167,18,3,1,0,0,3,4,0,7,0
이닝별,4~6회,0.292,24,7,2,0,1,4,6,0,4,0
이닝별,7회이후,0.235,17,4,1,0,0,4,2,1,7,1
타순별,4번타자,0.333,3,1,1,0,0,2,2,0,0,0
타순별,5번타자,0.261,23,6,0,0,1,5,5,0,8,1
타순별,6번타자,0.000,2,0,0,0,0,0,0,0,1,0
타순별,7번타자,0.222,18,4,2,0,0,2,4,1,5,0
타순별,8번타자,0.231,13,3,1,0,0,2,1,0,4,0
투수유형별,좌투수,0.273,11,3,1,0,0,1,4,0,2,0
투수유형별,우투수,0.229,48,11,3,0,1,10,8,1,16,1
아웃카운트별,0아웃,0.250,16,4,1,0,0,0,3,0,3,1
아웃카운트별,1아웃,0.273,22,6,1,0,0,4,3,1,7,0
아웃카운트별,2아웃,0.190,21,4,2,0,1,7,6,0,8,0
