분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,1.000,4,3,1,3,0,0,1,3,0,0,1,0,0,0,1.000
3월,03.29,KT,0.000,5,3,1,0,0,0,0,1,0,0,2,0,2,0,0.500
3월,03.31,KIA,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.375
4월,04.01,KIA,0.333,5,3,1,1,1,0,0,2,0,0,2,0,0,0,0.364
4월,04.02,KIA,0.000,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0.308
4월,04.03,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.294
4월,04.04,키움,0.200,5,5,1,1,0,0,0,0,0,0,0,0,2,1,0.273
4월,04.05,키움,0.250,5,4,0,1,0,0,0,1,0,0,0,0,3,0,0.269
4월,04.07,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.250
4월,04.08,NC,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.226
4월,04.10,SSG,0.333,4,3,0,1,1,0,0,0,0,1,1,0,1,0,0.235
4월,04.11,SSG,-,4,0,1,0,0,0,0,1,0,0,2,1,0,0,0.235
4월,04.12,SSG,0.000,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0.216
4월,04.15,롯데,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.205
4월,04.16,롯데,0.250,4,4,2,1,0,0,0,1,0,0,0,0,1,0,0.209
4월,04.18,삼성,0.667,3,3,0,2,1,0,0,0,0,0,0,0,1,0,0.239
4월,04.19,삼성,0.250,4,4,0,1,1,0,0,1,0,0,0,0,1,0,0.240
4월,04.21,한화,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.235
4월,04.22,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.236
4월,04.23,한화,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.237
