연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2010,넥센,0.000,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0
2013,넥센,0.194,69,106,98,5,19,6,0,1,28,6,1,0,7,1,28,6,0.286,0.255,6
2014,넥센,0.253,76,198,174,32,44,7,2,6,73,26,0,0,13,5,41,7,0.420,0.321,7
2015,넥센,0.266,127,443,379,47,101,12,1,14,157,61,0,0,37,9,93,4,0.414,0.339,10
2016,넥센,0.248,127,454,411,44,102,25,1,14,171,70,3,1,27,7,93,18,0.416,0.304,7
2017,넥센,0.270,103,284,256,33,69,9,0,11,111,39,2,1,17,3,56,9,0.434,0.320,8
2018,넥센,0.248,39,128,117,19,29,3,0,6,50,17,0,0,9,0,25,3,0.427,0.302,2
2019,키움,0.297,112,361,317,50,94,15,1,10,141,55,1,0,34,2,56,10,0.445,0.367,1
2020,키움,0.250,112,372,324,45,81,21,0,12,138,50,0,0,38,6,68,10,0.426,0.338,6
2021,키움,0.249,131,481,413,61,103,21,0,22,190,83,2,0,53,7,114,12,0.460,0.342,5
2022,KIA,0.242,123,447,385,52,93,21,0,18,168,57,1,0,45,9,95,9,0.436,0.334,5
2023,LG,0.249,130,481,409,54,102,17,1,20,181,75,0,1,49,7,90,7,0.443,0.334,8
2024,LG,0.272,130,498,434,58,118,22,0,20,200,80,1,0,55,0,112,14,0.461,0.349,4
2025,LG,0.253,139,523,451,57,114,25,0,22,205,76,4,0,62,2,124,10,0.455,0.342,8
2026,LG,0.237,20,74,59,11,14,4,0,1,21,11,0,1,12,1,18,1,0.356,0.365,1
