분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.545,14,11,2,6,3,0,0,4,1,0,3,0,2,0
상대팀별,KT,3,0.273,12,11,2,3,1,0,0,1,3,0,1,0,3,0
상대팀별,LG,2,0.200,10,10,0,2,0,0,0,1,0,0,0,0,2,0
상대팀별,SSG,2,0.500,5,4,0,2,0,0,0,2,0,1,0,1,0,0
상대팀별,두산,2,0.250,9,8,3,2,1,0,0,0,2,0,1,0,1,1
상대팀별,롯데,3,0.417,14,12,4,5,1,0,1,3,1,1,2,0,2,0
상대팀별,삼성,2,0.250,10,8,2,2,0,0,0,2,2,0,1,1,0,0
상대팀별,키움,3,0.300,13,10,2,3,1,0,0,1,2,0,3,0,2,0
구장별,고척,3,0.300,13,10,2,3,1,0,0,1,2,0,3,0,2,0
구장별,광주,3,0.545,14,11,2,6,3,0,0,4,1,0,3,0,2,0
구장별,대구,2,0.250,10,8,2,2,0,0,0,2,2,0,1,1,0,0
구장별,창원,12,0.311,50,45,9,14,3,0,1,7,6,2,4,1,8,1
월별,3~4월,20,0.338,87,74,15,25,7,0,1,14,11,2,11,2,12,1
요일별,화,4,0.214,19,14,2,3,0,0,0,0,2,1,5,0,2,0
요일별,수,4,0.235,17,17,2,4,1,0,1,3,0,0,0,0,4,0
요일별,목,3,0.500,13,12,4,6,2,0,0,3,4,0,1,0,3,0
요일별,금,2,0.625,10,8,1,5,1,0,0,5,0,0,1,1,1,0
요일별,토,4,0.250,19,16,5,4,1,0,0,3,3,0,3,0,0,1
요일별,일,3,0.429,9,7,1,3,2,0,0,0,2,1,1,1,2,0
홈/방문별,홈,12,0.311,50,45,9,14,3,0,1,7,6,2,4,1,8,1
홈/방문별,방문,8,0.379,37,29,6,11,4,0,0,7,5,0,7,1,4,0
주/야간별,주간,4,0.250,14,12,3,3,2,0,0,0,2,1,1,1,2,1
주/야간별,야간,16,0.355,73,62,12,22,5,0,1,14,9,1,10,1,10,0
기간별,전반기,20,0.338,87,74,15,25,7,0,1,14,11,2,11,2,12,1
