분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.265,34,9,3,0,0,0,6,1,7,0
주자상황별,1루,0.353,17,6,2,0,0,1,1,0,1,1
주자상황별,2루,0.333,6,2,1,0,1,3,0,1,1,0
주자상황별,3루,0.400,5,2,1,0,0,2,1,0,2,0
주자상황별,"1,2루",0.667,6,4,0,0,0,3,1,0,0,0
주자상황별,"1,3루",0.000,2,0,0,0,0,0,1,0,0,0
주자상황별,"2,3루",0.500,2,1,0,0,0,2,0,0,0,0
주자상황별,만루,0.500,2,1,0,0,0,3,1,0,1,0
주자상황별,주자있음,0.400,40,16,4,0,1,14,5,1,5,1
주자상황별,득점권,0.435,23,10,2,0,1,13,4,1,4,0
볼카운트별,0-0,0.571,7,4,0,0,1,5,0,0,0,0
볼카운트별,1-0,0.500,6,3,1,0,0,2,0,1,0,0
볼카운트별,2-0,0.333,3,1,1,0,0,0,0,0,0,0
볼카운트별,3-0,1.000,1,1,0,0,0,1,4,0,0,0
볼카운트별,0-1,0.250,4,1,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.300,10,3,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.286,7,2,0,0,0,0,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,1,3,0,0,0
볼카운트별,0-2,0.250,4,1,0,0,0,1,0,1,1,1
볼카운트별,1-2,0.143,14,2,1,0,0,0,0,0,5,0
볼카운트별,2-2,0.333,9,3,3,0,0,1,0,0,4,0
볼카운트별,3-2,0.444,9,4,1,0,0,3,4,0,2,0
이닝별,1회,0.412,17,7,4,0,0,4,2,1,4,0
이닝별,2회,0.000,1,0,0,0,0,0,1,0,0,0
이닝별,3회,0.182,11,2,0,0,0,2,3,1,1,0
이닝별,4회,0.250,8,2,1,0,0,0,0,0,1,0
이닝별,5회,0.625,8,5,0,0,1,4,3,0,0,0
이닝별,6회,0.250,8,2,1,0,0,0,0,0,2,0
이닝별,7회,0.375,8,3,0,0,0,1,2,0,1,0
이닝별,8회,0.286,7,2,0,0,0,2,0,0,2,1
이닝별,9회,0.333,6,2,1,0,0,1,0,0,1,0
이닝별,1~3회,0.310,29,9,4,0,0,6,6,2,5,0
이닝별,4~6회,0.375,24,9,2,0,1,4,3,0,3,0
이닝별,7회이후,0.333,21,7,1,0,0,4,2,0,4,1
타순별,2번타자,0.400,40,16,4,0,1,12,6,1,6,0
타순별,3번타자,0.265,34,9,3,0,0,2,5,1,6,1
투수유형별,좌투수,0.292,24,7,1,0,0,5,4,1,6,0
투수유형별,우투수,0.378,45,17,6,0,1,9,6,1,6,0
투수유형별,언더투수,0.200,5,1,0,0,0,0,1,0,0,1
아웃카운트별,0아웃,0.474,19,9,3,0,0,4,4,0,1,0
아웃카운트별,1아웃,0.348,23,8,3,0,0,3,3,0,2,1
아웃카운트별,2아웃,0.250,32,8,1,0,1,7,4,2,9,0
