분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,두산,0.000,5,5,2,0,0,0,0,0,0,0,0,0,0,1,0.000
3월,03.29,두산,0.667,4,3,1,2,1,0,0,0,2,0,1,0,1,0,0.250
3월,03.31,롯데,0.000,4,2,1,0,0,0,0,0,0,1,2,0,1,0,0.200
4월,04.01,롯데,0.600,5,5,2,3,1,0,1,2,0,0,0,0,0,0,0.333
4월,04.02,롯데,0.400,5,5,1,2,0,0,0,1,1,0,0,0,1,0,0.350
4월,04.03,KIA,0.750,5,4,0,3,1,0,0,3,0,0,1,0,1,0,0.417
4월,04.04,KIA,0.667,5,3,2,2,1,0,0,1,1,0,2,0,0,0,0.444
4월,04.05,KIA,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.419
4월,04.07,LG,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.389
4월,04.08,LG,0.200,5,5,0,1,0,0,0,1,0,0,0,0,2,0,0.366
4월,04.10,삼성,0.500,5,4,1,2,0,0,0,2,0,0,0,1,0,0,0.378
4월,04.11,삼성,0.000,5,4,1,0,0,0,0,0,2,0,1,0,0,0,0.347
4월,04.14,KT,0.250,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0.340
4월,04.15,KT,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.321
4월,04.16,KT,0.500,4,4,1,2,1,0,0,1,2,0,0,0,2,0,0.333
4월,04.18,SSG,0.500,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0.344
4월,04.19,SSG,-,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.344
4월,04.21,키움,0.333,5,3,0,1,0,0,0,0,1,0,2,0,1,0,0.343
4월,04.22,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.324
4월,04.23,키움,0.667,4,3,2,2,1,0,0,1,1,0,1,0,0,0,0.338
