연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2013,NC,0.268,32,47,41,10,11,1,0,0,12,6,9,2,5,0,6,3,0.293,0.340,3
2014,NC,0.298,118,491,416,87,124,21,9,1,166,40,50,10,56,11,89,5,0.399,0.392,10
2015,NC,0.304,141,617,520,111,158,31,6,3,210,47,46,16,73,14,108,4,0.404,0.399,11
2016,NC,0.343,121,515,435,84,149,16,6,3,186,55,20,6,55,8,70,9,0.428,0.420,14
2017,NC,0.363,106,452,388,84,141,25,4,3,183,47,11,1,46,11,51,8,0.472,0.441,7
2018,NC,0.324,115,460,411,68,133,22,5,5,180,33,17,5,32,10,51,4,0.438,0.383,8
2019,NC,0.344,125,526,468,89,161,23,8,1,203,45,18,7,41,9,40,10,0.434,0.403,9
2020,NC,0.345,126,530,467,82,161,27,5,8,222,63,13,6,36,15,48,12,0.475,0.402,10
2021,NC,0.261,50,215,180,30,47,5,3,1,61,18,12,3,22,7,23,4,0.339,0.360,3
2022,NC,0.267,104,451,390,61,104,22,1,4,140,38,21,4,42,10,55,7,0.359,0.351,8
2023,NC,0.316,124,509,452,76,143,20,7,2,183,46,26,7,40,9,57,13,0.405,0.381,15
2024,NC,0.328,121,528,457,75,150,26,2,8,204,50,32,7,54,9,79,5,0.446,0.406,6
2025,NC,0.302,117,468,404,64,122,25,8,3,172,67,28,8,44,12,64,5,0.426,0.384,10
2026,NC,0.338,20,87,74,15,25,7,0,1,35,14,11,2,11,2,12,1,0.473,0.437,1
