분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.400,10,5,3,2,1,0,0,2,0,0,5,0,0,0
상대팀별,LG,3,0.500,13,12,2,6,1,0,0,2,1,0,1,0,2,0
상대팀별,NC,2,0.375,9,8,1,3,0,0,0,0,0,0,1,0,2,0
상대팀별,두산,3,0.400,13,10,2,4,0,0,1,4,1,0,2,1,1,0
상대팀별,롯데,3,0.571,16,14,3,8,3,0,0,5,1,0,2,0,0,0
상대팀별,삼성,3,0.615,16,13,2,8,0,0,0,3,0,1,2,0,1,0
상대팀별,키움,3,0.545,13,11,3,6,3,0,0,4,0,0,2,0,0,0
상대팀별,한화,2,0.333,9,6,1,2,1,1,0,0,0,0,3,0,1,0
구장별,대구,3,0.615,16,13,2,8,0,0,0,3,0,1,2,0,1,0
구장별,문학,10,0.438,45,32,9,14,5,1,1,10,1,0,12,1,2,0
구장별,사직,3,0.571,16,14,3,8,3,0,0,5,1,0,2,0,0,0
구장별,잠실,3,0.500,13,12,2,6,1,0,0,2,1,0,1,0,2,0
구장별,창원,2,0.375,9,8,1,3,0,0,0,0,0,0,1,0,2,0
월별,3~4월,21,0.494,99,79,17,39,9,1,1,20,3,1,18,1,7,0
요일별,화,4,0.429,19,14,3,6,1,0,1,5,1,0,4,0,3,0
요일별,수,4,0.429,19,14,1,6,1,1,0,1,0,0,4,1,0,0
요일별,목,3,0.667,13,12,4,8,2,0,0,5,0,1,1,0,0,0
요일별,금,2,0.750,9,8,4,6,3,0,0,4,0,0,1,0,0,0
요일별,토,4,0.412,21,17,3,7,1,0,0,2,1,0,4,0,4,0
요일별,일,4,0.429,18,14,2,6,1,0,0,3,1,0,4,0,0,0
홈/방문별,홈,10,0.438,45,32,9,14,5,1,1,10,1,0,12,1,2,0
홈/방문별,방문,11,0.532,54,47,8,25,4,0,0,10,2,1,6,0,5,0
주/야간별,주간,5,0.412,23,17,3,7,1,0,0,3,1,0,6,0,0,0
주/야간별,야간,16,0.516,76,62,14,32,8,1,1,17,2,1,12,1,7,0
기간별,전반기,21,0.494,99,79,17,39,9,1,1,20,3,1,18,1,7,0
