분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.511,47,24,7,1,1,1,10,0,4,0
주자상황별,1루,0.182,11,2,0,0,0,0,3,0,1,0
주자상황별,2루,0.429,7,3,1,0,0,3,3,0,1,0
주자상황별,3루,1.000,2,2,0,0,0,2,1,0,0,0
주자상황별,"1,2루",0.400,5,2,1,0,0,3,0,0,1,0
주자상황별,"2,3루",1.000,2,2,0,0,0,3,0,1,0,0
주자상황별,만루,0.800,5,4,0,0,0,8,1,0,0,0
주자상황별,주자있음,0.469,32,15,2,0,0,19,8,1,3,0
주자상황별,득점권,0.619,21,13,2,0,0,19,5,1,2,0
볼카운트별,0-0,0.250,4,1,0,0,0,0,0,0,0,0
볼카운트별,1-0,0.333,3,1,0,0,0,0,0,0,0,0
볼카운트별,2-0,1.000,1,1,0,0,0,2,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,5,0,0,0
볼카운트별,0-1,0.583,12,7,2,0,0,5,0,0,0,0
볼카운트별,1-1,0.600,10,6,1,0,0,3,0,0,0,0
볼카운트별,2-1,0.500,6,3,1,0,0,0,0,1,0,0
볼카운트별,3-1,0.667,3,2,0,0,1,1,8,0,0,0
볼카운트별,0-2,0.500,4,2,1,0,0,0,0,0,1,0
볼카운트별,1-2,0.364,11,4,2,0,0,4,0,0,1,0
볼카운트별,2-2,0.615,13,8,0,0,0,3,0,0,4,0
볼카운트별,3-2,0.333,12,4,2,1,0,2,5,0,1,0
이닝별,1회,0.688,16,11,2,1,0,0,5,0,0,0
이닝별,2회,0.375,8,3,1,0,0,5,1,0,1,0
이닝별,3회,0.273,11,3,2,0,0,1,2,0,2,0
이닝별,4회,0.333,6,2,0,0,0,3,0,1,1,0
이닝별,5회,0.583,12,7,4,0,0,0,1,0,0,0
이닝별,6회,0.667,6,4,0,0,0,4,2,0,1,0
이닝별,7회,0.500,10,5,0,0,1,5,3,0,0,0
이닝별,8회,0.200,5,1,0,0,0,0,1,0,1,0
이닝별,9회,0.500,4,2,0,0,0,1,3,0,1,0
이닝별,연장,1.000,1,1,0,0,0,1,0,0,0,0
이닝별,1~3회,0.486,35,17,5,1,0,6,8,0,3,0
이닝별,4~6회,0.542,24,13,4,0,0,7,3,1,2,0
이닝별,7회이후,0.450,20,9,0,0,1,7,7,0,2,0
타순별,1번타자,0.494,79,39,9,1,1,20,18,1,7,0
투수유형별,좌투수,0.750,12,9,4,0,0,6,5,0,1,0
투수유형별,우투수,0.448,67,30,5,1,1,14,13,1,6,0
아웃카운트별,0아웃,0.613,31,19,5,1,0,2,8,0,2,0
아웃카운트별,1아웃,0.500,16,8,2,0,1,7,6,1,2,0
아웃카운트별,2아웃,0.375,32,12,2,0,0,11,4,0,3,0
