분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KIA,0.333,5,3,1,1,0,0,0,0,0,0,2,0,0,0,0.333
3월,03.29,KIA,0.500,5,2,2,1,1,0,0,2,0,0,3,0,0,0,0.400
3월,03.31,키움,0.250,5,4,0,1,0,0,0,2,0,0,1,0,0,0,0.333
4월,04.01,키움,0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.385
4월,04.02,키움,1.000,4,3,3,3,2,0,0,2,0,0,1,0,0,0,0.500
4월,04.03,롯데,0.800,5,5,2,4,2,0,0,4,0,0,0,0,0,0,0.571
4월,04.04,롯데,0.400,6,5,1,2,1,0,0,0,1,0,1,0,0,0,0.538
4월,04.05,롯데,0.500,5,4,0,2,0,0,0,1,0,0,1,0,0,0,0.533
4월,04.07,한화,0.333,4,3,1,1,1,0,0,0,0,0,1,0,1,0,0.515
4월,04.08,한화,0.333,5,3,0,1,0,1,0,0,0,0,2,0,0,0,0.500
4월,04.10,LG,0.667,4,3,2,2,1,0,0,0,0,0,1,0,0,0,0.513
4월,04.11,LG,0.600,5,5,0,3,0,0,0,2,0,0,0,0,2,0,0.523
4월,04.12,LG,0.250,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0.500
4월,04.14,두산,0.333,4,3,1,1,0,0,1,1,1,0,1,0,1,0,0.490
4월,04.15,두산,0.333,5,3,1,1,0,0,0,1,0,0,1,1,0,0,0.481
4월,04.16,두산,0.500,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0.483
4월,04.18,NC,0.250,5,4,1,1,0,0,0,0,0,0,1,0,2,0,0.468
4월,04.19,NC,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.470
4월,04.21,삼성,0.750,6,4,1,3,0,0,0,2,0,0,1,0,1,0,0.486
4월,04.22,삼성,0.500,5,4,0,2,0,0,0,0,0,0,1,0,0,0,0.486
4월,04.23,삼성,0.600,5,5,1,3,0,0,0,1,0,1,0,0,0,0,0.494
