분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.286,14,14,3,4,0,0,2,4,0,0,0,0,5,0
상대팀별,KT,3,0.462,13,13,1,6,1,1,0,2,0,0,0,0,5,0
상대팀별,NC,2,0.167,6,6,0,1,0,0,0,0,0,0,0,0,2,0
상대팀별,SSG,3,0.333,13,12,1,4,1,0,0,1,0,0,1,0,3,1
상대팀별,롯데,3,0.545,13,11,1,6,1,0,0,1,0,0,0,2,1,0
상대팀별,삼성,1,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
상대팀별,키움,2,0.222,9,9,1,2,1,0,0,1,0,0,0,0,2,0
상대팀별,한화,3,0.667,13,12,1,8,0,1,1,5,0,1,0,1,2,0
구장별,대구,1,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
구장별,문학,3,0.333,13,12,1,4,1,0,0,1,0,0,1,0,3,1
구장별,사직,3,0.545,13,11,1,6,1,0,0,1,0,0,0,2,1,0
구장별,수원,3,0.462,13,13,1,6,1,1,0,2,0,0,0,0,5,0
구장별,잠실,8,0.400,36,35,5,14,1,1,3,10,0,1,0,1,9,0
구장별,창원,2,0.167,6,6,0,1,0,0,0,0,0,0,0,0,2,0
월별,3~4월,20,0.397,82,78,8,31,4,2,3,14,0,1,1,3,20,1
요일별,화,3,0.231,14,13,1,3,1,0,0,2,0,0,0,1,3,0
요일별,수,4,0.500,14,12,2,6,1,0,0,1,0,0,1,1,1,1
요일별,목,2,0.375,8,8,0,3,1,0,0,0,0,0,0,0,2,0
요일별,금,3,0.429,15,14,0,6,1,0,0,5,0,0,0,1,7,0
요일별,토,4,0.250,16,16,1,4,0,0,0,0,0,1,0,0,4,0
요일별,일,4,0.600,15,15,4,9,0,2,3,6,0,0,0,0,3,0
홈/방문별,홈,8,0.400,36,35,5,14,1,1,3,10,0,1,0,1,9,0
홈/방문별,방문,12,0.395,46,43,3,17,3,1,0,4,0,0,1,2,11,1
주/야간별,주간,6,0.500,22,22,4,11,0,2,3,6,0,1,0,0,4,0
주/야간별,야간,14,0.357,60,56,4,20,4,0,0,8,0,0,1,3,16,1
기간별,전반기,20,0.397,82,78,8,31,4,2,3,14,0,1,1,3,20,1
