분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.395,43,17,2,2,2,2,1,1,12,0
주자상황별,1루,0.364,11,4,1,0,0,1,0,0,3,1
주자상황별,2루,0.556,9,5,1,0,0,4,0,0,0,0
주자상황별,3루,0.000,2,0,0,0,0,1,0,1,1,0
주자상황별,"1,2루",0.429,7,3,0,0,0,1,0,1,1,0
주자상황별,"1,3루",0.333,3,1,0,0,1,3,0,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,만루,0.500,2,1,0,0,0,2,0,0,1,0
주자상황별,주자있음,0.400,35,14,2,0,1,12,0,2,8,1
주자상황별,득점권,0.417,24,10,1,0,1,11,0,2,5,0
볼카운트별,0-0,0.667,15,10,2,0,1,5,0,1,0,0
볼카운트별,1-0,0.286,7,2,0,0,1,3,0,0,0,0
볼카운트별,2-0,0.667,3,2,0,0,0,0,0,0,0,0
볼카운트별,3-0,1.000,1,1,0,0,0,0,0,0,0,0
볼카운트별,0-1,0.429,7,3,1,0,0,0,0,0,0,0
볼카운트별,1-1,1.000,2,2,0,1,1,3,0,1,0,0
볼카운트별,2-1,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,2,0,0,0,0,0,0,0,0,1
볼카운트별,0-2,0.294,17,5,0,1,0,2,0,0,9,0
볼카운트별,1-2,0.250,12,3,1,0,0,1,0,0,6,0
볼카운트별,2-2,0.200,5,1,0,0,0,0,0,0,2,0
볼카운트별,3-2,0.400,5,2,0,0,0,0,1,1,3,0
이닝별,1회,0.294,17,5,0,0,0,2,0,0,5,1
이닝별,2회,1.000,1,1,0,0,0,0,0,0,0,0
이닝별,3회,0.545,11,6,1,0,1,3,0,1,3,0
이닝별,4회,0.333,6,2,0,0,0,0,1,0,2,0
이닝별,5회,0.250,12,3,0,0,1,4,0,0,4,0
이닝별,6회,0.667,6,4,0,1,0,2,0,0,1,0
이닝별,7회,0.600,10,6,1,1,1,2,0,0,1,0
이닝별,8회,0.500,8,4,2,0,0,1,0,1,0,0
이닝별,9회,0.000,6,0,0,0,0,0,0,1,3,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,1,0
이닝별,1~3회,0.414,29,12,1,0,1,5,0,1,8,1
이닝별,4~6회,0.375,24,9,0,1,1,6,1,0,7,0
이닝별,7회이후,0.400,25,10,3,1,1,3,0,2,5,0
타순별,1번타자,0.385,13,5,0,1,1,3,0,0,3,0
타순별,3번타자,0.407,54,22,4,1,2,9,1,2,14,1
타순별,5번타자,0.000,2,0,0,0,0,0,0,0,1,0
타순별,7번타자,0.200,5,1,0,0,0,0,0,0,1,0
타순별,8번타자,0.750,4,3,0,0,0,2,0,1,1,0
투수유형별,좌투수,0.391,23,9,0,0,1,3,0,0,5,0
투수유형별,우투수,0.407,54,22,4,2,2,11,1,3,15,1
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.500,20,10,1,0,1,2,1,1,2,0
아웃카운트별,1아웃,0.367,30,11,1,0,2,9,0,1,7,1
아웃카운트별,2아웃,0.357,28,10,2,2,0,3,0,1,11,0
