분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.250
3월,03.29,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.167
4월,04.01,삼성,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.143
4월,04.03,한화,0.750,5,4,0,3,0,0,0,2,0,0,0,1,1,0,0.364
4월,04.04,한화,0.333,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0.357
4월,04.05,한화,0.800,5,5,1,4,0,1,1,3,0,0,0,0,1,0,0.474
4월,04.07,키움,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.375
4월,04.08,키움,0.500,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0.393
4월,04.10,KT,0.400,5,5,0,2,1,0,0,2,0,0,0,0,3,0,0.394
4월,04.11,KT,0.500,4,4,1,2,0,0,0,0,0,0,0,0,1,0,0.405
4월,04.12,KT,0.500,4,4,0,2,0,1,0,0,0,0,0,0,1,0,0.415
4월,04.14,SSG,0.400,5,5,1,2,0,0,0,1,0,0,0,0,1,0,0.413
4월,04.15,SSG,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,1,0.408
4월,04.16,SSG,0.250,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0.396
4월,04.17,KIA,0.200,5,5,0,1,0,0,0,1,0,0,0,0,3,0,0.379
4월,04.18,KIA,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.349
4월,04.19,KIA,0.750,4,4,3,3,0,0,2,3,0,0,0,0,0,0,0.373
4월,04.21,롯데,0.333,4,3,0,1,1,0,0,1,0,0,0,1,0,0,0.371
4월,04.22,롯데,0.750,5,4,1,3,0,0,0,0,0,0,0,1,1,0,0.392
4월,04.23,롯데,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.397
