분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.300,15,10,4,3,1,0,0,0,2,0,4,0,2,1
상대팀별,KT,3,0.300,12,10,4,3,2,0,0,1,0,0,2,0,4,1
상대팀별,NC,2,0.250,9,8,1,2,0,0,0,0,1,0,1,0,0,0
상대팀별,SSG,3,0.364,13,11,3,4,1,0,1,2,1,0,2,0,3,0
상대팀별,롯데,3,0.333,14,12,3,4,0,0,0,0,2,0,1,0,2,0
상대팀별,삼성,3,0.167,14,12,0,2,1,0,0,3,1,0,1,0,3,0
상대팀별,키움,2,0.333,9,6,2,2,0,0,0,0,0,0,3,0,1,0
상대팀별,한화,3,0.333,13,12,4,4,1,0,0,0,1,0,1,0,2,2
구장별,대구,3,0.167,14,12,0,2,1,0,0,3,1,0,1,0,3,0
구장별,문학,3,0.364,13,11,3,4,1,0,1,2,1,0,2,0,3,0
구장별,사직,3,0.333,14,12,3,4,0,0,0,0,2,0,1,0,2,0
구장별,수원,3,0.300,12,10,4,3,2,0,0,1,0,0,2,0,4,1
구장별,잠실,8,0.321,37,28,10,9,2,0,0,0,3,0,8,0,5,3
구장별,창원,2,0.250,9,8,1,2,0,0,0,0,1,0,1,0,0,0
월별,3~4월,22,0.296,99,81,21,24,6,0,1,6,8,0,15,0,17,4
요일별,화,4,0.400,20,15,4,6,2,0,1,4,1,0,3,0,2,0
요일별,수,4,0.333,18,15,4,5,0,0,0,1,1,0,3,0,6,0
요일별,목,3,0.091,12,11,0,1,0,0,0,0,2,0,1,0,1,0
요일별,금,3,0.154,16,13,4,2,1,0,0,0,0,0,3,0,3,3
요일별,토,4,0.231,15,13,2,3,2,0,0,1,1,0,1,0,1,1
요일별,일,4,0.500,18,14,7,7,1,0,0,0,3,0,4,0,4,0
홈/방문별,홈,8,0.321,37,28,10,9,2,0,0,0,3,0,8,0,5,3
홈/방문별,방문,14,0.283,62,53,11,15,4,0,1,6,5,0,7,0,12,1
주/야간별,주간,6,0.409,26,22,8,9,2,0,0,0,3,0,4,0,4,0
주/야간별,야간,16,0.254,73,59,13,15,4,0,1,6,5,0,11,0,13,4
기간별,전반기,22,0.296,99,81,21,24,6,0,1,6,8,0,15,0,17,4
