분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.360,50,18,2,0,1,1,10,0,10,0
주자상황별,1루,0.167,12,2,2,0,0,1,0,0,1,3
주자상황별,2루,0.400,5,2,1,0,0,1,2,0,0,0
주자상황별,3루,0.000,3,0,0,0,0,0,0,0,2,0
주자상황별,"1,2루",0.333,6,2,1,0,0,3,2,0,1,1
주자상황별,"1,3루",-,0,0,0,0,0,0,1,0,0,0
주자상황별,"2,3루",0.000,3,0,0,0,0,0,0,0,3,0
주자상황별,만루,0.000,2,0,0,0,0,0,0,0,0,0
주자상황별,주자있음,0.194,31,6,4,0,0,5,5,0,7,4
주자상황별,득점권,0.211,19,4,2,0,0,4,5,0,6,1
볼카운트별,0-0,0.333,9,3,1,0,0,0,1,0,0,0
볼카운트별,1-0,0.333,3,1,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-1,0.333,12,4,2,0,0,2,0,0,0,2
볼카운트별,1-1,0.429,7,3,1,0,1,3,0,0,0,1
볼카운트별,2-1,0.400,5,2,1,0,0,0,0,0,0,1
볼카운트별,3-1,-,0,0,0,0,0,0,6,0,0,0
볼카운트별,0-2,0.000,7,0,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.357,14,5,1,0,0,1,0,0,7,0
볼카운트별,2-2,0.154,13,2,0,0,0,0,0,0,5,0
볼카운트별,3-2,0.400,10,4,0,0,0,0,4,0,3,0
이닝별,1회,0.353,17,6,1,0,0,0,1,0,5,0
이닝별,2회,0.000,7,0,0,0,0,0,0,0,3,1
이닝별,3회,0.125,8,1,0,0,1,1,3,0,1,1
이닝별,4회,0.500,4,2,2,0,0,3,1,0,0,0
이닝별,5회,0.364,11,4,1,0,0,1,2,0,1,1
이닝별,6회,0.167,6,1,0,0,0,0,4,0,1,0
이닝별,7회,0.444,9,4,1,0,0,1,1,0,2,0
이닝별,8회,0.308,13,4,0,0,0,0,2,0,3,1
이닝별,9회,0.400,5,2,1,0,0,0,0,0,1,0
이닝별,연장,0.000,1,0,0,0,0,0,1,0,0,0
이닝별,1~3회,0.219,32,7,1,0,1,1,4,0,9,2
이닝별,4~6회,0.333,21,7,3,0,0,4,7,0,2,1
이닝별,7회이후,0.357,28,10,2,0,0,1,4,0,6,1
타순별,1번타자,0.261,69,18,4,0,1,5,13,0,15,4
타순별,6번타자,0.333,3,1,0,0,0,0,1,0,1,0
타순별,7번타자,0.556,9,5,2,0,0,1,1,0,1,0
투수유형별,좌투수,0.296,27,8,3,0,0,3,3,0,6,0
투수유형별,우투수,0.296,54,16,3,0,1,3,12,0,11,4
아웃카운트별,0아웃,0.293,41,12,2,0,1,1,4,0,9,1
아웃카운트별,1아웃,0.368,19,7,2,0,0,2,3,0,1,3
아웃카운트별,2아웃,0.238,21,5,2,0,0,3,8,0,7,0
