분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.000
3월,03.29,NC,0.500,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0.250
3월,03.31,삼성,0.250,6,4,0,1,1,0,0,2,1,0,1,0,1,0,0.250
4월,04.01,삼성,0.250,4,4,0,1,0,0,0,1,0,0,0,0,2,0,0.250
4월,04.02,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.200
4월,04.03,한화,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,2,0.160
4월,04.04,한화,0.500,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0.207
4월,04.05,한화,0.667,4,3,3,2,0,0,0,0,1,0,1,0,1,0,0.250
4월,04.07,키움,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.257
4월,04.08,키움,0.333,5,3,2,1,0,0,0,0,0,0,2,0,0,0,0.263
4월,04.10,KT,0.250,6,4,3,1,1,0,0,0,0,0,2,0,2,1,0.262
4월,04.11,KT,0.500,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0.273
4월,04.12,KT,0.250,4,4,1,1,0,0,0,0,0,0,0,0,2,0,0.271
4월,04.14,SSG,0.600,5,5,3,3,1,0,1,2,0,0,0,0,0,0,0.302
4월,04.15,SSG,0.333,4,3,0,1,0,0,0,0,0,0,1,0,2,0,0.304
4월,04.16,SSG,0.000,4,3,0,0,0,0,0,0,1,0,1,0,1,0,0.288
4월,04.17,KIA,0.250,5,4,1,1,0,0,0,0,0,0,1,0,0,0,0.286
4월,04.18,KIA,0.000,5,3,1,0,0,0,0,0,1,0,1,0,1,1,0.273
4월,04.19,KIA,0.667,5,3,2,2,1,0,0,0,1,0,2,0,1,0,0.290
4월,04.21,롯데,0.333,5,3,1,1,0,0,0,0,0,0,1,0,0,0,0.292
4월,04.22,롯데,0.400,5,5,2,2,0,0,0,0,1,0,0,0,2,0,0.299
4월,04.23,롯데,0.250,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0.296
