연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2014,KIA,0.091,17,23,22,3,2,1,0,0,3,0,0,0,1,0,10,0,0.136,0.130,1
2015,KIA,0.182,69,150,137,13,25,5,1,0,32,6,3,1,9,0,37,2,0.234,0.233,7
2016,KIA,0.167,69,46,42,9,7,0,0,0,7,3,2,0,3,0,9,2,0.167,0.222,7
2019,KIA,0.260,133,541,504,60,131,15,4,2,160,49,39,6,26,4,83,8,0.317,0.300,16
2020,KIA,0.223,141,531,480,63,107,16,0,3,132,36,15,8,36,0,87,14,0.275,0.276,15
2021,KIA,0.246,131,483,418,51,103,15,5,1,131,59,9,4,54,0,73,11,0.313,0.331,24
2022,KIA,0.272,130,566,493,81,134,22,0,4,168,45,42,8,57,1,67,9,0.341,0.344,22
2023,KIA,0.301,130,507,452,73,136,18,4,3,171,52,30,8,40,2,56,13,0.378,0.356,15
2024,KIA,0.307,134,577,515,86,158,24,1,5,199,61,20,13,48,1,44,9,0.386,0.363,23
2025,KIA,0.287,134,595,516,75,148,18,2,5,185,42,27,6,62,3,69,7,0.359,0.363,16
2026,두산,0.296,22,99,81,21,24,6,0,1,33,6,8,0,15,0,17,4,0.407,0.406,2
