분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.250,9,8,0,2,0,0,0,0,1,0,0,0,1,0
상대팀별,KT,2,0.143,9,7,2,1,0,0,0,0,1,0,1,1,1,0
상대팀별,NC,2,0.200,10,10,0,2,0,0,0,0,0,0,0,0,3,0
상대팀별,SSG,3,0.400,13,10,1,4,2,0,0,4,1,0,1,0,2,0
상대팀별,롯데,3,0.364,13,11,0,4,0,0,0,0,1,0,2,0,1,0
상대팀별,삼성,2,0.125,9,8,0,1,0,0,0,0,0,0,0,1,0,0
상대팀별,키움,3,0.273,12,11,1,3,2,0,0,2,0,0,0,1,0,0
상대팀별,한화,3,0.273,13,11,3,3,0,0,0,0,1,1,2,0,1,0
구장별,고척,3,0.273,12,11,1,3,2,0,0,2,0,0,0,1,0,0
구장별,대구,2,0.125,9,8,0,1,0,0,0,0,0,0,0,1,0,0
구장별,잠실,14,0.298,57,47,6,14,2,0,0,4,5,1,6,1,6,0
구장별,창원,2,0.200,10,10,0,2,0,0,0,0,0,0,0,0,3,0
월별,3~4월,21,0.263,88,76,7,20,4,0,0,6,5,1,6,3,9,0
요일별,화,4,0.286,15,14,1,4,0,0,0,0,1,0,1,0,1,0
요일별,수,4,0.286,17,14,0,4,0,0,0,0,0,1,2,0,3,0
요일별,목,3,0.250,13,12,2,3,0,0,0,0,2,0,1,0,2,0
요일별,금,2,0.000,8,7,0,0,0,0,0,1,0,0,0,0,2,0
요일별,토,4,0.429,17,14,1,6,3,0,0,4,1,0,2,1,1,0
요일별,일,4,0.200,18,15,3,3,1,0,0,1,1,0,0,2,0,0
홈/방문별,홈,14,0.298,57,47,6,14,2,0,0,4,5,1,6,1,6,0
홈/방문별,방문,7,0.207,31,29,1,6,2,0,0,2,0,0,0,2,3,0
주/야간별,주간,6,0.227,27,22,4,5,1,0,0,1,1,0,1,3,1,0
주/야간별,야간,15,0.278,61,54,3,15,3,0,0,5,4,1,5,0,8,0
기간별,전반기,21,0.263,88,76,7,20,4,0,0,6,5,1,6,3,9,0
