분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.233,43,10,0,0,0,0,5,3,3,0
주자상황별,1루,0.375,16,6,3,0,0,0,0,0,2,0
주자상황별,2루,0.167,6,1,0,0,0,0,0,0,2,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"1,2루",0.250,4,1,1,0,0,2,1,0,1,0
주자상황별,"1,3루",0.500,2,1,0,0,0,1,0,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,만루,0.333,3,1,0,0,0,3,0,0,0,0
주자상황별,주자있음,0.303,33,10,4,0,0,6,1,0,6,0
주자상황별,득점권,0.235,17,4,1,0,0,6,1,0,4,0
볼카운트별,0-0,0.333,9,3,2,0,0,2,0,0,0,0
볼카운트별,1-0,0.750,4,3,1,0,0,1,0,0,0,0
볼카운트별,2-0,-,0,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-1,0.000,4,0,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.111,9,1,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.500,2,1,0,0,0,0,0,1,0,0
볼카운트별,3-1,0.500,2,1,1,0,0,0,2,0,0,0
볼카운트별,0-2,0.375,8,3,0,0,0,3,0,0,1,0
볼카운트별,1-2,0.000,12,0,0,0,0,0,0,2,4,0
볼카운트별,2-2,0.250,16,4,0,0,0,0,0,0,1,0
볼카운트별,3-2,0.400,10,4,0,0,0,0,1,0,3,0
이닝별,1회,0.111,9,1,0,0,0,0,1,0,1,0
이닝별,2회,0.333,9,3,2,0,0,0,0,0,1,0
이닝별,3회,0.333,12,4,0,0,0,0,0,0,1,0
이닝별,4회,0.250,8,2,1,0,0,0,1,1,0,0
이닝별,5회,0.200,10,2,0,0,0,1,0,1,3,0
이닝별,6회,0.125,8,1,0,0,0,1,1,0,1,0
이닝별,7회,0.375,8,3,0,0,0,0,1,1,1,0
이닝별,8회,0.500,8,4,1,0,0,4,1,0,0,0
이닝별,9회,0.000,4,0,0,0,0,0,1,0,1,0
이닝별,1~3회,0.267,30,8,2,0,0,0,1,0,3,0
이닝별,4~6회,0.192,26,5,1,0,0,2,2,2,4,0
이닝별,7회이후,0.350,20,7,1,0,0,4,3,1,2,0
타순별,1번타자,0.231,26,6,0,0,0,0,4,1,2,0
타순별,2번타자,0.200,10,2,0,0,0,0,0,0,3,0
타순별,6번타자,0.600,10,6,2,0,0,3,1,0,0,0
타순별,7번타자,0.250,4,1,1,0,0,0,0,1,0,0
타순별,8번타자,0.000,4,0,0,0,0,1,0,0,2,0
타순별,9번타자,0.227,22,5,1,0,0,2,1,1,2,0
투수유형별,좌투수,0.368,19,7,1,0,0,1,3,0,3,0
투수유형별,우투수,0.232,56,13,3,0,0,5,3,3,6,0
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.276,29,8,2,0,0,0,1,2,2,0
아웃카운트별,1아웃,0.280,25,7,1,0,0,3,2,0,2,0
아웃카운트별,2아웃,0.227,22,5,1,0,0,3,3,1,5,0
