연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2013,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
2014,삼성,0.297,119,373,310,65,92,11,4,1,114,31,36,8,37,6,45,4,0.368,0.381,3
2015,삼성,0.293,144,608,525,96,154,22,7,0,190,47,60,8,56,2,126,8,0.362,0.362,3
2016,삼성,0.300,141,641,564,109,169,26,12,4,231,61,52,15,49,3,87,6,0.410,0.357,2
2017,삼성,0.284,144,638,570,96,162,25,8,7,224,54,40,12,50,1,78,6,0.393,0.338,1
2018,삼성,0.299,144,649,576,114,172,30,10,9,249,68,36,10,56,3,99,9,0.432,0.360,2
2019,삼성,0.239,144,581,506,64,121,16,7,5,166,44,24,7,58,2,82,4,0.328,0.318,2
2020,삼성,0.290,132,541,489,84,142,18,5,11,203,55,34,12,39,3,77,7,0.415,0.345,0
2021,삼성,0.291,127,542,454,78,132,22,1,5,171,54,36,15,69,3,82,3,0.377,0.383,1
2022,LG,0.289,144,636,570,97,165,20,8,3,210,49,24,6,44,9,85,4,0.368,0.347,2
2023,LG,0.285,144,558,485,80,138,14,2,6,174,59,26,12,45,3,74,7,0.359,0.348,3
2024,LG,0.263,144,553,482,72,127,16,6,6,173,56,43,13,46,11,101,3,0.359,0.336,1
2025,LG,0.276,144,544,442,80,122,18,2,3,153,43,49,14,68,8,94,7,0.346,0.379,1
2026,LG,0.263,21,88,76,7,20,4,0,0,24,6,5,1,6,3,9,0,0.316,0.337,0
