분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.250,13,12,0,3,1,0,0,1,0,0,1,0,1,0
상대팀별,KT,3,0.100,12,10,0,1,0,0,0,1,0,0,2,0,2,1
상대팀별,LG,3,0.308,14,13,2,4,2,0,0,1,0,0,1,0,3,0
상대팀별,NC,2,0.375,8,8,1,3,1,0,0,1,0,0,0,0,0,0
상대팀별,SSG,3,0.286,16,14,3,4,2,0,0,2,0,0,1,0,2,0
상대팀별,두산,2,0.167,10,6,2,1,0,0,0,0,0,0,3,1,1,0
상대팀별,롯데,3,0.111,12,9,1,1,0,0,0,0,1,0,3,0,3,0
상대팀별,한화,2,0.444,10,9,0,4,0,0,0,3,0,0,1,0,2,0
구장별,고척,8,0.267,34,30,4,8,3,0,0,2,1,0,4,0,6,0
구장별,광주,3,0.250,13,12,0,3,1,0,0,1,0,0,1,0,1,0
구장별,대전,2,0.444,10,9,0,4,0,0,0,3,0,0,1,0,2,0
구장별,문학,3,0.286,16,14,3,4,2,0,0,2,0,0,1,0,2,0
구장별,수원,3,0.100,12,10,0,1,0,0,0,1,0,0,2,0,2,1
구장별,잠실,2,0.167,10,6,2,1,0,0,0,0,0,0,3,1,1,0
월별,3~4월,21,0.259,95,81,9,21,6,0,0,9,1,0,12,1,14,1
요일별,화,4,0.188,18,16,2,3,0,0,0,2,0,0,1,0,1,0
요일별,수,3,0.333,16,12,3,4,1,0,0,2,0,0,3,1,1,0
요일별,목,3,0.333,13,12,1,4,3,0,0,0,0,0,1,0,2,0
요일별,금,3,0.333,12,12,2,4,2,0,0,1,0,0,0,0,2,1
요일별,토,4,0.235,19,17,1,4,0,0,0,4,1,0,2,0,4,0
요일별,일,4,0.167,17,12,0,2,0,0,0,0,0,0,5,0,4,0
홈/방문별,홈,8,0.267,34,30,4,8,3,0,0,2,1,0,4,0,6,0
홈/방문별,방문,13,0.255,61,51,5,13,3,0,0,7,0,0,8,1,8,1
주/야간별,주간,4,0.333,19,15,0,5,0,0,0,3,0,0,4,0,4,0
주/야간별,야간,17,0.242,76,66,9,16,6,0,0,6,1,0,8,1,10,1
기간별,전반기,21,0.259,95,81,9,21,6,0,0,9,1,0,12,1,14,1
