분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.234,47,11,4,0,0,0,8,0,9,0
주자상황별,1루,0.176,17,3,2,0,0,0,2,0,1,1
주자상황별,2루,0.667,3,2,0,0,0,2,2,1,0,0
주자상황별,3루,0.500,2,1,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.250,4,1,0,0,0,0,0,0,2,0
주자상황별,"1,3루",0.333,3,1,0,0,0,1,0,0,0,0
주자상황별,"2,3루",0.500,2,1,0,0,0,1,0,0,1,0
주자상황별,만루,0.333,3,1,0,0,0,4,0,0,1,0
주자상황별,주자있음,0.294,34,10,2,0,0,9,4,1,5,1
주자상황별,득점권,0.412,17,7,0,0,0,9,2,1,4,0
볼카운트별,0-0,0.400,10,4,0,0,0,2,0,0,0,1
볼카운트별,1-0,0.200,10,2,1,0,0,1,0,0,0,0
볼카운트별,2-0,1.000,1,1,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.375,8,3,2,0,0,0,0,0,0,0
볼카운트별,1-1,0.364,11,4,1,0,0,2,0,0,0,0
볼카운트별,2-1,0.250,4,1,0,0,0,1,0,0,0,0
볼카운트별,3-1,0.000,2,0,0,0,0,0,5,0,0,0
볼카운트별,0-2,0.000,7,0,0,0,0,0,0,0,4,0
볼카운트별,1-2,0.222,9,2,0,0,0,1,0,1,2,0
볼카운트별,2-2,0.182,11,2,2,0,0,0,0,0,5,0
볼카운트별,3-2,0.250,8,2,0,0,0,1,6,0,3,0
이닝별,1회,0.250,16,4,0,0,0,1,2,0,1,0
이닝별,2회,0.000,5,0,0,0,0,0,1,0,0,0
이닝별,3회,0.200,10,2,1,0,0,1,2,0,3,1
이닝별,4회,0.375,8,3,2,0,0,0,0,0,2,0
이닝별,5회,0.250,8,2,1,0,0,2,1,1,1,0
이닝별,6회,0.364,11,4,1,0,0,2,1,0,5,0
이닝별,7회,0.571,7,4,0,0,0,1,1,0,1,0
이닝별,8회,0.111,9,1,1,0,0,0,2,0,1,0
이닝별,9회,0.143,7,1,0,0,0,2,1,0,0,0
이닝별,연장,-,0,0,0,0,0,0,1,0,0,0
이닝별,1~3회,0.194,31,6,1,0,0,2,5,0,4,1
이닝별,4~6회,0.333,27,9,4,0,0,4,2,1,8,0
이닝별,7회이후,0.261,23,6,1,0,0,3,5,0,2,0
타순별,1번타자,0.243,37,9,4,0,0,3,5,1,7,0
타순별,2번타자,0.000,3,0,0,0,0,0,1,0,1,0
타순별,3번타자,0.462,13,6,1,0,0,3,1,0,2,0
타순별,4번타자,0.208,24,5,0,0,0,3,5,0,4,1
타순별,5번타자,0.250,4,1,1,0,0,0,0,0,0,0
투수유형별,좌투수,0.261,23,6,3,0,0,3,2,0,2,0
투수유형별,우투수,0.268,56,15,3,0,0,6,8,1,11,1
투수유형별,언더투수,0.000,2,0,0,0,0,0,2,0,1,0
아웃카운트별,0아웃,0.306,36,11,5,0,0,1,7,0,7,0
아웃카운트별,1아웃,0.158,19,3,1,0,0,1,2,0,3,1
아웃카운트별,2아웃,0.269,26,7,0,0,0,7,3,1,4,0
