분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,한화,0.600,6,5,0,3,0,0,0,3,0,0,1,0,1,0,0.600
3월,03.29,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.444
3월,03.31,SSG,0.250,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0.385
4월,04.01,SSG,0.333,6,6,3,2,1,0,0,1,0,0,0,0,0,0,0.368
4월,04.02,SSG,0.250,5,4,0,1,1,0,0,0,0,0,1,0,2,0,0.348
4월,04.03,LG,1.000,4,4,2,4,2,0,0,1,0,0,0,0,0,0,0.444
4월,04.04,LG,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.375
4월,04.05,LG,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.333
4월,04.07,두산,0.250,5,4,2,1,0,0,0,0,0,0,1,0,0,0,0.325
4월,04.08,두산,0.000,5,2,0,0,0,0,0,0,0,0,2,1,1,0,0.310
4월,04.10,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.283
4월,04.11,롯데,0.000,4,3,1,0,0,0,0,0,1,0,1,0,1,0,0.265
4월,04.12,롯데,0.500,4,2,0,1,0,0,0,0,0,0,2,0,1,0,0.275
4월,04.14,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.255
4월,04.15,KIA,0.500,5,4,0,2,0,0,0,1,0,0,1,0,0,0,0.271
4월,04.16,KIA,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.270
4월,04.17,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.254
4월,04.18,KT,0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0.254
4월,04.19,KT,0.000,4,2,0,0,0,0,0,0,0,0,2,0,1,0,0.247
4월,04.21,NC,0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0.247
4월,04.23,NC,0.500,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0.259
