분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.222,13,9,2,2,0,0,0,0,2,0,4,0,4,0
상대팀별,KT,2,0.100,10,10,0,1,0,0,0,1,0,0,0,0,1,1
상대팀별,NC,2,0.200,6,5,0,1,0,0,0,1,0,0,0,0,2,0
상대팀별,SSG,3,0.111,11,9,1,1,0,0,0,1,0,0,2,0,1,0
상대팀별,롯데,3,0.286,7,7,0,2,0,0,0,1,1,1,0,0,2,0
상대팀별,삼성,2,0.000,8,8,0,0,0,0,0,0,0,0,0,0,0,0
상대팀별,키움,3,0.214,15,14,0,3,0,0,0,0,0,0,0,0,4,1
상대팀별,한화,3,0.500,8,6,0,3,0,0,0,1,0,0,2,0,0,0
구장별,고척,3,0.214,15,14,0,3,0,0,0,0,0,0,0,0,4,1
구장별,대구,2,0.000,8,8,0,0,0,0,0,0,0,0,0,0,0,0
구장별,잠실,14,0.220,49,41,3,9,0,0,0,4,3,1,8,0,8,1
구장별,창원,2,0.200,6,5,0,1,0,0,0,1,0,0,0,0,2,0
월별,3~4월,21,0.191,78,68,3,13,0,0,0,5,3,1,8,0,14,2
요일별,화,4,0.250,14,12,0,3,0,0,0,1,0,1,1,0,4,0
요일별,수,4,0.286,10,7,2,2,0,0,0,1,2,0,3,0,3,0
요일별,목,3,0.375,10,8,0,3,0,0,0,1,1,0,2,0,1,0
요일별,금,2,0.250,9,8,0,2,0,0,0,0,0,0,1,0,3,0
요일별,토,4,0.118,17,17,0,2,0,0,0,1,0,0,0,0,0,1
요일별,일,4,0.063,18,16,1,1,0,0,0,1,0,0,1,0,3,1
홈/방문별,홈,14,0.220,49,41,3,9,0,0,0,4,3,1,8,0,8,1
홈/방문별,방문,7,0.148,29,27,0,4,0,0,0,1,0,0,0,0,6,1
주/야간별,주간,6,0.080,27,25,1,2,0,0,0,2,0,0,1,0,3,1
주/야간별,야간,15,0.256,51,43,2,11,0,0,0,3,3,1,7,0,11,1
기간별,전반기,21,0.191,78,68,3,13,0,0,0,5,3,1,8,0,14,2
