분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.167,36,6,0,0,0,0,4,0,10,0
주자상황별,1루,0.000,9,0,0,0,0,0,2,0,1,2
주자상황별,2루,0.571,7,4,0,0,0,2,0,0,0,0
주자상황별,3루,0.000,3,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.250,8,2,0,0,0,1,1,0,2,0
주자상황별,"1,3루",-,0,0,0,0,0,0,0,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,1,1,0,0,0
주자상황별,만루,0.250,4,1,0,0,0,1,0,0,0,0
주자상황별,주자있음,0.219,32,7,0,0,0,5,4,0,4,2
주자상황별,득점권,0.304,23,7,0,0,0,5,2,0,3,0
볼카운트별,0-0,0.111,9,1,0,0,0,2,0,0,0,0
볼카운트별,1-0,0.333,6,2,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,5,0,0,0
볼카운트별,0-1,0.500,6,3,0,0,0,1,0,0,0,0
볼카운트별,1-1,0.500,6,3,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,2,0,0,1
볼카운트별,0-2,0.167,6,1,0,0,0,0,0,0,0,0
볼카운트별,1-2,0.000,6,0,0,0,0,0,0,0,4,0
볼카운트별,2-2,0.000,16,0,0,0,0,0,0,0,9,1
볼카운트별,3-2,0.375,8,3,0,0,0,1,1,0,1,0
이닝별,1회,0.286,7,2,0,0,0,0,0,0,2,2
이닝별,2회,0.000,2,0,0,0,0,0,2,0,1,0
이닝별,3회,0.000,11,0,0,0,0,0,2,0,3,0
이닝별,4회,0.300,10,3,0,0,0,1,0,0,3,0
이닝별,5회,0.222,9,2,0,0,0,1,0,0,2,0
이닝별,6회,0.000,7,0,0,0,0,0,3,0,2,0
이닝별,7회,0.200,10,2,0,0,0,1,0,0,0,0
이닝별,8회,0.333,9,3,0,0,0,2,1,0,1,0
이닝별,9회,0.333,3,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.100,20,2,0,0,0,0,4,0,6,2
이닝별,4~6회,0.192,26,5,0,0,0,2,3,0,7,0
이닝별,7회이후,0.273,22,6,0,0,0,3,1,0,1,0
타순별,2번타자,0.172,29,5,0,0,0,1,4,0,7,2
타순별,6번타자,0.000,1,0,0,0,0,0,0,0,0,0
타순별,9번타자,0.211,38,8,0,0,0,4,4,0,7,0
투수유형별,좌투수,0.125,16,2,0,0,0,0,4,0,4,0
투수유형별,우투수,0.216,51,11,0,0,0,5,4,0,10,2
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.167,24,4,0,0,0,1,3,0,4,2
아웃카운트별,1아웃,0.190,21,4,0,0,0,1,3,0,5,0
아웃카운트별,2아웃,0.217,23,5,0,0,0,3,2,0,5,0
