분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,0.200,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0.200
3월,03.29,KT,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0.100
3월,03.31,KIA,0.333,4,3,0,1,0,0,0,0,0,0,1,0,2,0,0.154
4월,04.01,KIA,0.500,5,2,2,1,0,0,0,0,2,0,3,0,1,0,0.200
4월,04.02,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.158
4월,04.03,키움,0.400,5,5,0,2,0,0,0,0,0,0,0,0,2,0,0.208
4월,04.04,키움,0.000,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0.172
4월,04.05,키움,0.250,5,4,0,1,0,0,0,0,0,0,0,0,2,0,0.182
4월,04.07,NC,0.000,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0.167
4월,04.08,NC,0.500,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0.184
4월,04.10,SSG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.171
4월,04.11,SSG,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.182
4월,04.12,SSG,0.000,4,3,1,0,0,0,0,1,0,0,1,0,0,0,0.170
4월,04.14,롯데,0.333,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0.180
4월,04.15,롯데,0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.173
4월,04.16,롯데,0.500,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0.185
4월,04.18,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.172
4월,04.19,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.161
4월,04.21,한화,0.333,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0.169
4월,04.22,한화,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.167
4월,04.23,한화,1.000,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0.191
