분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.300,11,10,4,3,1,0,0,0,1,0,1,0,1,0
상대팀별,KT,3,0.250,9,8,1,2,0,0,1,5,0,0,1,0,2,0
상대팀별,LG,3,0.000,11,10,1,0,0,0,0,0,0,0,1,0,2,0
상대팀별,SSG,2,0.429,7,7,0,3,0,0,0,0,2,0,0,0,2,0
상대팀별,두산,1,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0
상대팀별,롯데,2,0.333,8,6,2,2,1,0,0,0,0,0,2,0,2,0
상대팀별,삼성,2,0.167,9,6,2,1,0,0,0,1,2,0,2,1,3,0
상대팀별,키움,2,0.375,9,8,4,3,1,0,1,4,0,0,1,0,2,0
구장별,대전,10,0.281,38,32,11,9,2,0,2,10,3,0,5,1,8,0
구장별,문학,2,0.429,7,7,0,3,0,0,0,0,2,0,0,0,2,0
구장별,사직,2,0.333,8,6,2,2,1,0,0,0,0,0,2,0,2,0
구장별,잠실,4,0.071,15,14,2,1,1,0,0,0,0,0,1,0,3,0
월별,3~4월,18,0.254,68,59,15,15,4,0,2,10,5,0,8,1,15,0
요일별,화,4,0.214,16,14,2,3,0,0,0,1,2,0,2,0,2,0
요일별,수,4,0.250,15,12,2,3,0,0,1,5,2,0,2,1,5,0
요일별,목,2,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0
요일별,금,2,0.143,7,7,1,1,1,0,0,0,0,0,0,0,1,0
요일별,토,3,0.300,13,10,5,3,1,0,1,3,0,0,3,0,3,0
요일별,일,3,0.455,12,11,5,5,2,0,0,1,1,0,1,0,2,0
홈/방문별,홈,10,0.281,38,32,11,9,2,0,2,10,3,0,5,1,8,0
홈/방문별,방문,8,0.222,30,27,4,6,2,0,0,0,2,0,3,0,7,0
주/야간별,주간,5,0.444,21,18,10,8,3,0,1,4,1,0,3,0,3,0
주/야간별,야간,13,0.171,47,41,5,7,1,0,1,6,4,0,5,1,12,0
기간별,전반기,18,0.254,68,59,15,15,4,0,2,10,5,0,8,1,15,0
