분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.216,37,8,2,0,0,0,5,0,11,0
주자상황별,1루,0.200,5,1,1,0,0,0,0,0,1,0
주자상황별,2루,0.333,3,1,0,0,0,0,0,0,1,0
주자상황별,3루,-,0,0,0,0,0,0,1,0,0,0
주자상황별,"1,2루",0.333,6,2,0,0,2,6,1,1,0,0
주자상황별,"1,3루",0.500,6,3,1,0,0,3,0,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,만루,0.000,1,0,0,0,0,1,1,0,1,0
주자상황별,주자있음,0.318,22,7,2,0,2,10,3,1,4,0
주자상황별,득점권,0.353,17,6,1,0,2,10,3,1,3,0
볼카운트별,0-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,1,4,0,0,0
볼카운트별,0-1,0.444,9,4,1,0,1,4,0,0,0,0
볼카운트별,1-1,0.375,8,3,0,0,1,3,0,0,0,0
볼카운트별,2-1,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,1.000,1,1,1,0,0,0,2,0,0,0
볼카운트별,0-2,0.200,15,3,1,0,0,1,0,0,10,0
볼카운트별,1-2,0.182,11,2,0,0,0,0,0,0,4,0
볼카운트별,2-2,0.222,9,2,1,0,0,1,0,1,1,0
볼카운트별,3-2,0.000,1,0,0,0,0,0,2,0,0,0
이닝별,2회,0.143,7,1,1,0,0,1,0,1,1,0
이닝별,3회,0.100,10,1,0,0,0,0,1,0,5,0
이닝별,4회,0.111,9,1,0,0,0,1,1,0,4,0
이닝별,5회,0.167,6,1,0,0,0,0,1,0,0,0
이닝별,6회,0.429,7,3,1,0,0,1,2,0,1,0
이닝별,7회,0.375,8,3,1,0,0,1,2,0,0,0
이닝별,8회,0.429,7,3,0,0,2,6,1,0,1,0
이닝별,9회,0.250,4,1,1,0,0,0,0,0,3,0
이닝별,연장,1.000,1,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.118,17,2,1,0,0,1,1,1,6,0
이닝별,4~6회,0.227,22,5,1,0,0,2,4,0,5,0
이닝별,7회이후,0.400,20,8,2,0,2,7,3,0,4,0
타순별,9번타자,0.254,59,15,4,0,2,10,8,1,15,0
투수유형별,좌투수,0.000,9,0,0,0,0,0,3,0,2,0
투수유형별,우투수,0.304,46,14,4,0,1,7,5,1,12,0
투수유형별,언더투수,0.250,4,1,0,0,1,3,0,0,1,0
아웃카운트별,0아웃,0.100,20,2,0,0,0,1,2,0,9,0
아웃카운트별,1아웃,0.500,18,9,3,0,0,1,4,0,3,0
아웃카운트별,2아웃,0.190,21,4,1,0,2,8,2,1,3,0
