분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,키움,0.500,5,4,3,2,0,0,1,3,0,0,1,0,1,0,0.500
3월,03.29,키움,0.250,4,4,1,1,1,0,0,1,0,0,0,0,1,0,0.375
3월,03.31,KT,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.273
4월,04.01,KT,0.500,5,4,1,2,0,0,1,5,0,0,1,0,1,0,0.333
4월,04.02,KT,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.313
4월,04.03,두산,0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.300
4월,04.07,SSG,0.500,4,4,0,2,0,0,0,0,1,0,0,0,1,0,0.333
4월,04.08,SSG,0.333,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0.333
4월,04.10,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.300
4월,04.11,KIA,0.333,4,3,2,1,1,0,0,0,0,0,1,0,0,0,0.303
4월,04.12,KIA,0.500,4,4,2,2,0,0,0,0,1,0,0,0,1,0,0.324
4월,04.14,삼성,0.250,5,4,1,1,0,0,0,1,1,0,1,0,1,0,0.317
4월,04.15,삼성,0.000,4,2,1,0,0,0,0,0,1,0,1,1,2,0,0.302
4월,04.18,롯데,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.283
4월,04.19,롯데,0.667,4,3,2,2,1,0,0,0,0,0,1,0,0,0,0.306
4월,04.21,LG,0.000,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0.288
4월,04.22,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.273
4월,04.23,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.254
