연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2015,KT,0.169,106,146,142,16,24,7,0,1,34,14,5,2,2,0,35,4,0.239,0.181,10
2016,KT,0.242,122,251,236,36,57,9,1,3,77,17,17,1,8,0,40,5,0.326,0.264,13
2017,KT,0.287,103,303,286,38,82,15,2,4,113,26,18,5,8,4,58,4,0.395,0.314,19
2018,KT,0.259,135,403,367,49,95,23,3,4,136,29,11,11,20,4,58,4,0.371,0.304,13
2019,KT,0.279,138,433,391,54,109,13,1,3,133,28,24,3,23,6,68,7,0.340,0.328,11
2020,KT,0.235,144,535,476,58,112,16,3,3,143,51,35,11,37,2,98,7,0.300,0.291,21
2021,KT,0.268,139,460,407,61,109,20,2,6,151,48,16,6,32,4,65,2,0.371,0.323,19
2022,KT,0.240,132,449,388,69,93,8,2,4,117,34,23,2,43,2,75,11,0.302,0.316,16
2024,KT,0.266,53,192,169,22,45,4,0,3,58,28,7,1,17,1,29,3,0.343,0.337,8
2025,한화,0.231,94,275,247,39,57,9,1,2,74,22,11,1,17,3,49,4,0.300,0.287,7
2026,한화,0.254,18,68,59,15,15,4,0,2,25,10,5,0,8,1,15,0,0.424,0.353,4
