분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.125,9,8,1,1,0,0,0,0,0,0,1,0,2,0
상대팀별,KT,3,0.400,10,10,0,4,0,0,0,1,0,0,0,0,2,0
상대팀별,LG,3,0.300,14,10,0,3,1,0,0,0,0,0,4,0,2,1
상대팀별,NC,3,0.100,11,10,0,1,0,0,0,0,0,0,1,0,2,1
상대팀별,SSG,3,0.286,15,14,2,4,1,0,0,2,0,0,1,0,4,1
상대팀별,두산,2,0.143,10,7,0,1,0,0,0,0,0,0,3,0,0,0
상대팀별,롯데,3,0.167,12,12,0,2,1,0,0,1,0,0,0,0,4,0
상대팀별,한화,2,0.500,10,6,2,3,2,0,0,0,0,0,4,0,1,0
구장별,고척,9,0.188,37,32,0,6,2,0,0,1,0,0,5,0,8,2
구장별,광주,2,0.125,9,8,1,1,0,0,0,0,0,0,1,0,2,0
구장별,대전,2,0.500,10,6,2,3,2,0,0,0,0,0,4,0,1,0
구장별,문학,3,0.286,15,14,2,4,1,0,0,2,0,0,1,0,4,1
구장별,수원,3,0.400,10,10,0,4,0,0,0,1,0,0,0,0,2,0
구장별,잠실,2,0.143,10,7,0,1,0,0,0,0,0,0,3,0,0,0
월별,3~4월,21,0.247,91,77,5,19,5,0,0,4,0,0,14,0,17,3
요일별,화,4,0.250,18,16,1,4,0,0,0,0,0,0,2,0,3,0
요일별,수,4,0.188,20,16,2,3,1,0,0,2,0,0,4,0,3,1
요일별,목,2,0.000,7,7,0,0,0,0,0,0,0,0,0,0,2,1
요일별,금,3,0.222,10,9,0,2,0,0,0,0,0,0,1,0,4,0
요일별,토,4,0.400,19,15,2,6,3,0,0,1,0,0,4,0,2,0
요일별,일,4,0.286,17,14,0,4,1,0,0,1,0,0,3,0,3,1
홈/방문별,홈,9,0.188,37,32,0,6,2,0,0,1,0,0,5,0,8,2
홈/방문별,방문,12,0.289,54,45,5,13,3,0,0,3,0,0,9,0,9,1
주/야간별,주간,4,0.385,19,13,2,5,3,0,0,1,0,0,6,0,1,1
주/야간별,야간,17,0.219,72,64,3,14,2,0,0,3,0,0,8,0,16,2
기간별,전반기,21,0.247,91,77,5,19,5,0,0,4,0,0,14,0,17,3
