분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.225,40,9,2,0,0,0,5,0,9,0
주자상황별,1루,0.385,13,5,2,0,0,1,2,0,1,2
주자상황별,2루,0.333,9,3,1,0,0,2,3,0,2,0
주자상황별,3루,0.000,3,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.111,9,1,0,0,0,0,2,0,3,1
주자상황별,"1,3루",0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,"2,3루",1.000,1,1,0,0,0,1,2,0,0,0
주자상황별,주자있음,0.270,37,10,3,0,0,4,9,0,8,3
주자상황별,득점권,0.208,24,5,1,0,0,3,7,0,7,1
볼카운트별,0-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,1-0,0.500,8,4,2,0,0,1,0,0,0,1
볼카운트별,3-0,-,0,0,0,0,0,0,5,0,0,0
볼카운트별,0-1,0.500,6,3,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.167,12,2,1,0,0,0,0,0,0,1
볼카운트별,2-1,0.600,5,3,2,0,0,3,0,0,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,0,4,0,0,0
볼카운트별,0-2,0.133,15,2,0,0,0,0,0,0,9,0
볼카운트별,1-2,0.091,11,1,0,0,0,0,0,0,3,1
볼카운트별,2-2,0.250,12,3,0,0,0,0,0,0,3,0
볼카운트별,3-2,0.000,4,0,0,0,0,0,5,0,2,0
이닝별,1회,0.176,17,3,1,0,0,0,3,0,5,0
이닝별,2회,0.000,2,0,0,0,0,0,0,0,0,0
이닝별,3회,0.182,11,2,1,0,0,1,1,0,3,0
이닝별,4회,0.143,7,1,0,0,0,0,1,0,2,1
이닝별,5회,0.444,9,4,1,0,0,1,2,0,1,0
이닝별,6회,0.444,9,4,0,0,0,1,1,0,2,1
이닝별,7회,0.333,9,3,2,0,0,0,2,0,2,0
이닝별,8회,0.200,5,1,0,0,0,0,2,0,2,0
이닝별,9회,0.125,8,1,0,0,0,1,1,0,0,1
이닝별,연장,-,0,0,0,0,0,0,1,0,0,0
이닝별,1~3회,0.167,30,5,2,0,0,1,4,0,8,0
이닝별,4~6회,0.360,25,9,1,0,0,2,4,0,5,2
이닝별,7회이후,0.227,22,5,2,0,0,1,6,0,4,1
타순별,2번타자,0.241,29,7,2,0,0,0,8,0,4,1
타순별,3번타자,0.239,46,11,3,0,0,4,6,0,13,2
타순별,9번타자,0.500,2,1,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.300,20,6,1,0,0,1,4,0,4,0
투수유형별,우투수,0.222,54,12,4,0,0,3,9,0,12,3
투수유형별,언더투수,0.333,3,1,0,0,0,0,1,0,1,0
아웃카운트별,0아웃,0.292,24,7,1,0,0,2,5,0,6,2
아웃카운트별,1아웃,0.240,25,6,3,0,0,0,1,0,6,1
아웃카운트별,2아웃,0.214,28,6,1,0,0,2,8,0,5,0
