분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,한화,0.667,6,3,2,2,2,0,0,0,0,0,3,0,0,0,0.667
3월,03.29,한화,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.500
3월,03.31,SSG,0.400,5,5,0,2,0,0,0,0,0,0,0,0,1,0,0.455
4월,04.01,SSG,0.400,6,5,2,2,1,0,0,2,0,0,1,0,1,0,0.438
4월,04.02,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,1,0.350
4월,04.03,LG,0.333,4,3,0,1,0,0,0,0,0,0,1,0,2,0,0.348
4월,04.04,LG,0.250,5,4,0,1,1,0,0,0,0,0,1,0,0,0,0.333
4월,04.05,LG,0.333,5,3,0,1,0,0,0,0,0,0,2,0,0,1,0.333
4월,04.07,두산,0.250,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0.324
4월,04.08,두산,0.000,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0.297
4월,04.10,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.268
4월,04.11,롯데,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.267
4월,04.12,롯데,0.250,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0.265
4월,04.14,KIA,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.250
4월,04.15,KIA,0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.246
4월,04.17,KT,0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.254
4월,04.18,KT,0.500,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0.270
4월,04.19,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.269
4월,04.21,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.268
4월,04.22,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,1,0.257
4월,04.23,NC,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.247
