연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2009,KIA,0.235,123,415,371,53,87,13,4,14,150,38,8,5,32,2,103,10,0.404,0.297,11
2010,KIA,0.291,133,537,461,79,134,21,3,8,185,50,18,5,49,7,96,12,0.401,0.365,9
2011,KIA,0.315,115,433,378,54,119,21,4,5,163,46,9,4,33,3,55,13,0.431,0.373,9
2012,KIA,0.288,132,558,489,60,141,31,2,3,185,64,20,3,42,6,74,12,0.378,0.347,11
2013,KIA,0.249,118,484,414,56,103,15,0,3,127,39,16,1,52,6,74,13,0.307,0.338,8
2014,KIA,0.339,126,479,434,65,147,31,2,18,236,88,19,6,33,6,65,11,0.544,0.390,9
2016,KIA,0.222,10,43,36,3,8,2,0,0,10,1,0,0,5,0,8,2,0.278,0.310,0
2017,KIA,0.316,132,545,487,95,154,29,2,21,250,93,7,0,43,4,70,19,0.513,0.373,13
2018,KIA,0.342,130,549,494,88,169,38,1,23,278,118,5,1,36,10,57,13,0.563,0.392,8
2019,KIA,0.315,105,408,362,45,114,18,1,5,149,49,4,2,40,1,37,9,0.412,0.380,11
2020,롯데,0.286,124,460,412,49,118,28,0,8,170,54,14,3,35,7,47,11,0.413,0.351,14
2021,롯데,0.306,119,490,421,58,129,30,2,10,193,82,3,6,52,3,58,10,0.458,0.379,10
2022,롯데,0.284,132,562,493,71,140,27,3,14,215,58,7,2,51,5,52,13,0.436,0.354,12
2023,롯데,0.292,121,494,425,57,124,20,1,8,170,63,3,3,49,10,53,14,0.400,0.374,4
2024,한화,0.300,128,533,473,64,142,21,0,13,202,66,3,2,49,6,70,10,0.427,0.370,6
2025,한화,0.172,66,196,174,9,30,4,0,2,40,18,3,0,16,1,39,4,0.230,0.245,1
2026,키움,0.247,21,91,77,5,19,5,0,0,24,4,0,0,14,0,17,3,0.312,0.363,0
