분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,1,0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0
상대팀별,KT,3,0.500,12,10,0,5,1,0,0,1,0,0,1,0,1,0
상대팀별,NC,2,0.143,8,7,2,1,0,0,1,2,0,0,1,0,1,0
상대팀별,SSG,3,0.273,11,11,0,3,0,0,0,0,0,0,0,0,5,0
상대팀별,롯데,3,0.333,11,9,2,3,1,0,0,0,0,0,2,0,6,0
상대팀별,삼성,3,0.167,13,12,1,2,1,0,0,0,0,0,1,0,0,0
상대팀별,키움,1,0.000,3,2,0,0,0,0,0,1,0,0,0,0,0,0
상대팀별,한화,3,0.091,13,11,0,1,0,0,0,0,0,0,2,0,6,0
구장별,대구,3,0.167,13,12,1,2,1,0,0,0,0,0,1,0,0,0
구장별,문학,3,0.273,11,11,0,3,0,0,0,0,0,0,0,0,5,0
구장별,사직,3,0.333,11,9,2,3,1,0,0,0,0,0,2,0,6,0
구장별,수원,3,0.500,12,10,0,5,1,0,0,1,0,0,1,0,1,0
구장별,잠실,5,0.067,18,15,0,1,0,0,0,1,0,0,2,0,8,0
구장별,창원,2,0.143,8,7,2,1,0,0,1,2,0,0,1,0,1,0
월별,3~4월,19,0.234,73,64,5,15,3,0,1,4,0,0,7,0,21,0
요일별,화,4,0.286,16,14,2,4,1,0,0,1,0,0,1,0,5,0
요일별,수,3,0.222,11,9,1,2,0,0,0,0,0,0,2,0,2,0
요일별,목,3,0.182,11,11,0,2,1,0,0,0,0,0,0,0,4,0
요일별,금,3,0.200,11,10,0,2,0,0,0,0,0,0,1,0,7,0
요일별,토,3,0.200,12,10,0,2,0,0,0,1,0,0,1,0,0,0
요일별,일,3,0.300,12,10,2,3,1,0,1,2,0,0,2,0,3,0
홈/방문별,홈,5,0.067,18,15,0,1,0,0,0,1,0,0,2,0,8,0
홈/방문별,방문,14,0.286,55,49,5,14,3,0,1,3,0,0,5,0,13,0
주/야간별,주간,5,0.235,20,17,2,4,1,0,1,2,0,0,3,0,3,0
주/야간별,야간,14,0.234,53,47,3,11,2,0,0,2,0,0,4,0,18,0
기간별,전반기,19,0.234,73,64,5,15,3,0,1,4,0,0,7,0,21,0
