분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.333,36,12,1,0,0,0,3,0,12,0
주자상황별,1루,0.188,16,3,2,0,1,2,0,0,5,0
주자상황별,2루,0.000,2,0,0,0,0,0,3,0,0,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.000,4,0,0,0,0,0,0,0,1,0
주자상황별,"1,3루",0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,1,1,0,0,0
주자상황별,만루,0.000,2,0,0,0,0,1,0,0,1,0
주자상황별,주자있음,0.107,28,3,2,0,1,4,4,0,9,0
주자상황별,득점권,0.000,12,0,0,0,0,2,4,0,4,0
볼카운트별,0-0,0.333,3,1,1,0,0,1,0,0,0,0
볼카운트별,1-0,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,2-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.500,4,2,0,0,0,1,0,0,0,0
볼카운트별,1-1,0.500,8,4,2,0,0,0,0,0,0,0
볼카운트별,2-1,0.500,2,1,0,0,1,2,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.182,11,2,0,0,0,0,0,0,5,0
볼카운트별,1-2,0.000,15,0,0,0,0,0,0,0,10,0
볼카운트별,2-2,0.357,14,5,0,0,0,0,0,0,5,0
볼카운트별,3-2,0.000,3,0,0,0,0,0,3,0,1,0
이닝별,1회,0.000,2,0,0,0,0,0,0,0,0,0
이닝별,2회,0.267,15,4,1,0,0,0,1,0,6,0
이닝별,3회,0.333,3,1,0,0,0,0,0,0,1,0
이닝별,4회,0.111,9,1,0,0,0,1,0,0,5,0
이닝별,5회,0.250,8,2,0,0,0,0,1,0,2,0
이닝별,6회,0.000,7,0,0,0,0,0,1,0,3,0
이닝별,7회,0.333,9,3,1,0,1,3,1,0,3,0
이닝별,8회,0.200,5,1,0,0,0,0,1,0,1,0
이닝별,9회,0.600,5,3,1,0,0,0,2,0,0,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.250,20,5,1,0,0,0,1,0,7,0
이닝별,4~6회,0.125,24,3,0,0,0,1,2,0,10,0
이닝별,7회이후,0.350,20,7,2,0,1,3,4,0,4,0
타순별,3번타자,0.000,4,0,0,0,0,0,0,0,0,0
타순별,5번타자,0.000,3,0,0,0,0,0,0,0,0,0
타순별,6번타자,0.200,25,5,1,0,0,1,5,0,9,0
타순별,7번타자,0.313,32,10,2,0,1,3,2,0,12,0
투수유형별,좌투수,0.125,16,2,0,0,1,2,2,0,6,0
투수유형별,우투수,0.271,48,13,3,0,0,2,5,0,15,0
아웃카운트별,0아웃,0.353,17,6,0,0,1,2,2,0,5,0
아웃카운트별,1아웃,0.190,21,4,1,0,0,0,3,0,10,0
아웃카운트별,2아웃,0.192,26,5,2,0,0,2,2,0,6,0
