분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.000
3월,03.29,NC,0.333,4,3,2,1,0,0,1,2,0,0,1,0,1,0,0.143
3월,03.31,삼성,0.400,6,5,1,2,1,0,0,0,0,0,1,0,0,0,0.250
4월,04.01,삼성,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.200
4월,04.02,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.158
4월,04.03,한화,0.000,5,4,0,0,0,0,0,0,0,0,1,0,4,0,0.130
4월,04.04,한화,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.154
4월,04.05,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.133
4월,04.07,키움,0.000,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0.125
4월,04.10,KT,0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0.167
4월,04.11,KT,0.333,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0.179
4월,04.12,KT,0.667,4,3,0,2,1,0,0,0,0,0,1,0,0,0,0.214
4월,04.14,SSG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,3,0,0.217
4월,04.15,SSG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.220
4월,04.16,SSG,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.226
4월,04.17,KIA,0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.218
4월,04.21,롯데,0.333,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0.224
4월,04.22,롯데,0.500,4,2,1,1,0,0,0,0,0,0,2,0,1,0,0.233
4월,04.23,롯데,0.250,4,4,0,1,1,0,0,0,0,0,0,0,3,0,0.234
