연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2015,LG,0.260,125,384,358,36,93,22,1,8,141,48,6,6,18,0,75,6,0.394,0.293,10
2016,LG,0.276,80,215,203,24,56,10,1,6,86,37,3,0,6,1,48,1,0.424,0.297,5
2017,LG,0.263,132,496,445,62,117,27,3,14,192,83,3,7,38,6,93,13,0.431,0.326,8
2018,LG,0.263,140,519,483,53,127,27,0,22,220,82,2,2,24,6,81,9,0.455,0.303,14
2020,LG,0.246,40,132,118,8,29,5,0,3,43,13,0,0,10,2,25,1,0.364,0.315,4
2021,두산,0.273,133,546,488,66,133,22,0,28,239,96,2,3,42,9,136,10,0.490,0.337,8
2022,두산,0.244,107,446,405,58,99,14,1,20,175,51,1,0,32,7,101,3,0.432,0.309,10
2023,두산,0.281,140,582,524,73,147,28,0,21,238,89,4,0,41,6,133,9,0.454,0.333,10
2024,두산,0.246,142,593,533,83,131,25,1,34,260,107,5,3,49,7,128,15,0.488,0.316,10
2025,두산,0.248,72,294,262,32,65,16,0,8,105,31,1,0,24,5,82,6,0.401,0.320,4
2026,두산,0.234,19,73,64,5,15,3,0,1,21,4,0,0,7,0,21,0,0.328,0.301,2
