분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.333,14,12,1,4,0,0,1,2,0,0,1,0,1,1
상대팀별,KT,3,0.200,13,10,2,2,1,0,0,1,0,0,2,1,3,0
상대팀별,NC,2,0.000,8,8,0,0,0,0,0,0,0,0,0,0,1,0
상대팀별,SSG,3,0.333,13,9,2,3,1,0,1,3,0,0,2,1,0,0
상대팀별,롯데,3,0.400,13,10,0,4,1,0,0,3,0,0,2,0,1,1
상대팀별,삼성,3,0.083,13,12,1,1,0,0,0,0,0,0,0,1,0,0
상대팀별,키움,2,0.400,8,5,0,2,1,0,0,2,0,0,1,1,0,0
상대팀별,한화,3,0.111,12,9,2,1,0,0,0,0,0,0,2,1,1,1
구장별,대구,3,0.083,13,12,1,1,0,0,0,0,0,0,0,1,0,0
구장별,문학,3,0.333,13,9,2,3,1,0,1,3,0,0,2,1,0,0
구장별,사직,3,0.400,13,10,0,4,1,0,0,3,0,0,2,0,1,1
구장별,수원,3,0.200,13,10,2,2,1,0,0,1,0,0,2,1,3,0
구장별,잠실,8,0.269,34,26,3,7,1,0,1,4,0,0,4,2,2,2
구장별,창원,2,0.000,8,8,0,0,0,0,0,0,0,0,0,0,1,0
월별,3~4월,22,0.227,94,75,8,17,4,0,2,11,0,0,10,5,7,3
요일별,화,4,0.133,19,15,2,2,0,0,1,3,0,0,1,2,0,0
요일별,수,4,0.545,16,11,0,6,3,0,0,5,0,0,3,0,0,0
요일별,목,3,0.200,12,10,1,2,0,0,0,0,0,0,1,1,1,1
요일별,금,3,0.500,13,8,2,4,0,0,0,1,0,0,3,1,1,0
요일별,토,4,0.125,16,16,2,2,1,0,1,1,0,0,0,0,4,1
요일별,일,4,0.067,18,15,1,1,0,0,0,1,0,0,2,1,1,1
홈/방문별,홈,8,0.269,34,26,3,7,1,0,1,4,0,0,4,2,2,2
홈/방문별,방문,14,0.204,60,49,5,10,3,0,1,7,0,0,6,3,5,1
주/야간별,주간,6,0.045,25,22,1,1,0,0,0,1,0,0,2,1,2,2
주/야간별,야간,16,0.302,69,53,7,16,4,0,2,10,0,0,8,4,5,1
기간별,전반기,22,0.227,94,75,8,17,4,0,2,11,0,0,10,5,7,3
