분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.179,39,7,1,0,1,1,4,4,4,0
주자상황별,1루,0.368,19,7,2,0,1,3,2,0,1,1
주자상황별,2루,0.333,3,1,0,0,0,0,2,1,0,0
주자상황별,3루,0.000,3,0,0,0,0,0,1,0,1,0
주자상황별,"1,2루",0.000,3,0,0,0,0,0,1,0,1,1
주자상황별,"1,3루",0.500,2,1,0,0,0,4,0,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,1,0,0,0,0
주자상황별,만루,0.200,5,1,1,0,0,2,0,0,0,1
주자상황별,주자있음,0.278,36,10,3,0,1,10,6,1,3,3
주자상황별,득점권,0.176,17,3,1,0,0,7,4,1,2,2
볼카운트별,0-0,0.250,8,2,1,0,0,2,0,0,0,0
볼카운트별,1-0,0.300,10,3,0,0,0,1,0,1,0,0
볼카운트별,2-0,0.000,2,0,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,4,0,0,0
볼카운트별,0-1,0.143,7,1,0,0,0,2,0,2,0,0
볼카운트별,1-1,0.250,8,2,0,0,0,0,0,1,0,1
볼카운트별,2-1,0.600,5,3,1,0,2,3,0,0,0,0
볼카운트별,3-1,0.333,3,1,1,0,0,1,1,0,0,0
볼카운트별,0-2,0.000,5,0,0,0,0,0,0,0,4,1
볼카운트별,1-2,0.143,7,1,0,0,0,0,0,1,0,1
볼카운트별,2-2,0.083,12,1,0,0,0,0,0,0,3,0
볼카운트별,3-2,0.375,8,3,1,0,0,1,5,0,0,0
이닝별,1회,0.167,6,1,1,0,0,2,2,0,0,1
이닝별,2회,0.250,12,3,1,0,0,0,0,1,0,0
이닝별,3회,0.300,10,3,0,0,1,2,0,1,1,0
이닝별,4회,0.333,9,3,0,0,0,0,2,0,1,0
이닝별,5회,0.000,7,0,0,0,0,1,1,0,1,1
이닝별,6회,0.125,8,1,0,0,0,0,3,1,1,1
이닝별,7회,0.250,4,1,1,0,0,2,1,0,0,0
이닝별,8회,0.273,11,3,0,0,1,2,0,1,2,0
이닝별,9회,0.333,6,2,1,0,0,2,1,1,0,0
이닝별,연장,0.000,2,0,0,0,0,0,0,0,1,0
이닝별,1~3회,0.250,28,7,2,0,1,4,2,2,1,1
이닝별,4~6회,0.167,24,4,0,0,0,1,6,1,3,2
이닝별,7회이후,0.261,23,6,2,0,1,6,2,2,3,0
타순별,3번타자,0.000,3,0,0,0,0,0,1,1,0,0
타순별,4번타자,0.236,72,17,4,0,2,11,9,4,7,3
투수유형별,좌투수,0.300,20,6,1,0,1,2,3,1,1,2
투수유형별,우투수,0.200,55,11,3,0,1,9,7,4,6,1
아웃카운트별,0아웃,0.229,35,8,2,0,2,3,5,3,3,1
아웃카운트별,1아웃,0.235,17,4,2,0,0,4,1,2,1,2
아웃카운트별,2아웃,0.217,23,5,0,0,0,4,4,0,3,0
